SERFF#,State,Group_Code,Company_Code,Company_Code_all,Objection_letter_date,Objectionletter#,Objection#,Objection,download_week
CT_ALSE-134371730,CT,8,19232,[19232],01/10/2025,Objection_letter1,objection3,"Inflationary Automatic Coverage A increase a. For the proposed effective date, what would be the additional premium the company would get only from the automatic inflationary Coverage A increase on condo upon renewal?. This additional premium we would expect calculated based on the current rates, not the proposed rates. b. Please describe and provide exhibits to demonstrate how this Coverage A increase have been reflected in your premium trends and your rate level indications. Also discuss if you have changed your Coverage A relativities as a result of this increase/change. Please explain how the increase in coverage A  complies with our statutes and homeowners checklist to not exceed 8% a year c. Please explain how the increase in coverage A  complies with our statutes and homeowners checklist to not exceed 8% a year. d. Please explain how this automatic increase in coverage A relates to your COVERAGE A - BUILDING PROPERTY PROTECTION INCREASED LIMITS ADDITIONAL PREMIUM PER $1,000 OF INCREASED COVERAGE A BASE DEDUCTIBLE. If you would like to discuss this further, please reach out to me at susan.gozzo.andrews@ct.gov Susan Gozzo Andrews, FCAS, SERFF Tracking #: ALSE-134371730 State Tracking #: 202500100 Company Tracking #: R57955: RC (+4.1%) State: Connecticut Filing Company: Allstate Insurance Company TOI/Sub-TOI:",2025-02-10
CT_ALSE-134371730,CT,8,19232,[19232],01/10/2025,Objection_letter1,objection04,"0 Homeowners/04.0001 Condominium Homeowners Product Name: AIC CON Project Name/Number: RC (+4.1%)/RITM06359300 PDF Pipeline for SERFF Tracking Number ALSE-134371730 Generated 02/04/2025 11:32 PM  MAAA, RPLU+, PIR.",2025-02-10
CT_ALSE-134371730,CT,8,19232,[19232],01/10/2025,Objection_letter2,objection1,"Please review the following comments and respond accordingly.      Objection 1           Comments: Please provide the Complete Rate Manual.         This is needed for every filing. Please provide the Rate Order of Calculation,     If this in not included in the Rate Manual, please provide separately then.",2025-02-10
ID_ALSE-134355105,ID,8,37907,[37907],No objections,No objections,No objections,No objections,2025-02-10
KY_LBPM-134398598,KY,111,19690,[19690],No objections,No objections,No objections,No objections,2025-02-10
KY_TRVD-G134354905,KY,3548,38130,[38130],No objections,No objections,No objections,No objections,2025-02-10
KY_TRVD-G134354974,KY,3548,38130,[38130],01/16/2025,Objection_letter1,objection1,Please find attached the objection letter.,2025-02-10
KY_TRVD-G134354974,KY,3548,38130,[38130],01/08/2025,Objection_letter2,objection1,"With regard to the above referenced filing, some areas require additional clarification. Please see attached.",2025-02-10
MA_TRVD-134135642,MA,3548,19062,"[19062, 27998, 28188, 38130, 36145]",01/16/2025,Objection_letter1,objection1,"The Division has assessed this filing submission, and has determined that additional documentation, clarification, or changes to the documents submitted are required in order for our review to continue. Please respond, therefore, to the following Objections in accordance with SERFF procedures for responding to an Objection Letter. Please see Part 6 of the Massachusetts General Instructions for further guidance on the proper procedure for responding to Objections. Please update Item No. 10 Supplemental Rates page 2 Rate Adjustment factors in the Rate/Rule Schedule tab on SERFF based on the revised Rate Adjustment factors described in your 1/16/25 response to 2nd objection.",2025-02-10
MA_TRVD-134135642,MA,3548,19062,"[19062, 27998, 28188, 38130, 36145]",01/16/2025,Objection_letter2,objection1,"Please provide an overall rate impact exhibit for owners and LL that reconciles the proposed changes in base rates, and all other rating variables combined, including the updated variables referenced in Actuarial Memo, and the newly introduced roof score.",2025-02-10
MA_TRVD-134135642,MA,3548,19062,"[19062, 27998, 28188, 38130, 36145]",01/16/2025,Objection_letter2,objection2,"Since the overall rate impact is revised from 12% to 7.5%, what changes have been made to base rates or rating factors to result in such change? It seems that no changes have been made to base rates, or any factors in rates/rules on SERFF. Please review and advise.",2025-02-10
MA_TRVD-134135642,MA,3548,19062,"[19062, 27998, 28188, 38130, 36145]",09/24/2024,Objection_letter3,objection1,"If a policyholder has made tree removals round the house, or replaced the roof recently, which is too new to be captured/updated in third party vendor’s database, how Travelers would handle such situations in rating? In what situations a price adjustment will be allowed/granted? If any price adjustment is made, would the adjustment be retrospective to the date that the policyholder made the change or be made at the time of notice from policyholder? Please comment on situations of new business and renewal business respectively.",2025-02-10
MA_TRVD-134135642,MA,3548,19062,"[19062, 27998, 28188, 38130, 36145]",09/24/2024,Objection_letter3,objection2,"Is there any underwriting change as per the use of aerial images: decline of new business, non-renewal or cancellation? If so, please describe the conditions for each category. Also please comment any change in underwriting decision due to the mismatch issue in objection 1).",2025-02-10
MA_TRVD-134135642,MA,3548,19062,"[19062, 27998, 28188, 38130, 36145]",09/24/2024,Objection_letter3,objection3,Please describe how Traverlers would handle the situation that a policyholder disputes about the category assigned or underwriting decision based on aerial images of the policy.,2025-02-10
MA_TRVD-134135642,MA,3548,19062,"[19062, 27998, 28188, 38130, 36145]",08/27/2024,Objection_letter4,objection1,Please provide Travelers’ MA HO Quantum 2.0’s coastal earned exposures by form in rolling accident year ending 12/31 for both 2022 and 2023.,2025-02-10
MA_TRVD-134135642,MA,3548,19062,"[19062, 27998, 28188, 38130, 36145]",08/27/2024,Objection_letter4,objection2,Please provide Travelers’ MA HO Quantum 2.0’s average earned premium by form for the peril of Hurricane for rolling accident year ending 12/31 for both 2022 and 2023.,2025-02-10
MA_TRVD-134135642,MA,3548,19062,"[19062, 27998, 28188, 38130, 36145]",08/27/2024,Objection_letter4,objection3,3 Yr. Expense Exhibit 2020-2022: please update the exhibit to include calendar year 2023 data.,2025-02-10
MA_TRVD-134135642,MA,3548,19062,"[19062, 27998, 28188, 38130, 36145]",08/27/2024,Objection_letter4,objection4,Rate Adjustment Factors: please clarify on which set of base rates (SERFF# of that filing) the RAF are applied.,2025-02-10
MA_TRVD-134135642,MA,3548,19062,"[19062, 27998, 28188, 38130, 36145]",07/26/2024,Objection_letter5,objection1,"Please provide the average annual coverage A value for owners forms of Quantum 2.0 program for accident years ending 12/31 of 2020, 2021, 2022, and 2023 respectively.",2025-02-10
MA_TRVD-134135642,MA,3548,19062,"[19062, 27998, 28188, 38130, 36145]",07/26/2024,Objection_letter5,objection2,Please provide the average annual adjustment to coverage A values in each of the past four years. Please also provide an estimate of the total proportion of owners premium that is subject to such adjustments.,2025-02-10
MA_TRVD-134135642,MA,3548,19062,"[19062, 27998, 28188, 38130, 36145]",07/26/2024,Objection_letter5,objection3,"Please provide actuarial supports for the proposed changes in the factors updated referenced in first page of Actuarial Memorandum: if loss ratio relativity, or GLM, or any other analysis done contributing to such changes.",2025-02-10
MA_TRVD-134135642,MA,3548,19062,"[19062, 27998, 28188, 38130, 36145]",07/26/2024,Objection_letter5,objection4,"Roof Score: please provide a brief description of how the score is determined, including any GLM database, methodology, lift charts if applicable.",2025-02-10
MA_TRVD-134135642,MA,3548,19062,"[19062, 27998, 28188, 38130, 36145]",07/26/2024,Objection_letter5,objection5,"Are aerial images used in Roof Score? If so, please provide a list of rating variables which use aerial images to determine a risk’s condition or category, and a brief description/summary of how such images are used to determine the risk scores.",2025-02-10
MA_TRVD-134135642,MA,3548,19062,"[19062, 27998, 28188, 38130, 36145]",06/24/2024,Objection_letter6,objection1,"The Massachusetts Division of Insurance (the ""Division"") has concluded initial administrative review of this filing submission. This filing is referred to the State Rating Bureau for actuarial review. In the interim, please respond, in accordance with SERFF procedures for Responding to an Objection Letter, to the following objection: Please refer to Part 6 of the Massachusetts General Instructions for further guidance on the proper procedure for responding to Objections.      Objection 1           - Annotated Comparison (Supporting Document)           Comments: ANNOTATED COMPARISON Regarding Item No. 1, please be advised that the annotated attachment ""MA QH2 Rule 301_mock up eff 111724.pdf"" is not an accurate annotation of the actual prior version from Previous Filing Number TRVD-131708389 (i.e., there were no changes to footer/edition date, etc.). Please refer to the final attachment, which already reflects an updated footer/edition date. Please update and replace ""MA QH2 Rule 301_mock up eff 111724.pdf"", ensuring to update the naming convention of the pdf attachment itself.",2025-02-10
MD_AMSI-134128669,MD,155,10872,[10872],02/05/2025,Objection_letter1,objection1,"Please provide a distribution by region of your policyholders. Thank you, Walter Dabrowski, FCAS, MAAA 410-468-2388",2025-02-10
MD_AMSI-134128669,MD,155,10872,[10872],09/16/2024,Objection_letter2,objection1,"Please provide support for the Profit Load of 13.0% in Exhibit I-1, line 20. Provide an exhibit that shows the details of the calculation of the profit load. Include the target return on surplus, investment income on surplus, investment income on loss and LAE reserves and investment income on unearned premium reserves if applicable.",2025-02-10
MD_AMSI-134128669,MD,155,10872,[10872],09/16/2024,Objection_letter2,objection2,"Provide the data in support of the frequency, severity and pure premium trends in Exhibit I-3.",2025-02-10
MD_AMSI-134128669,MD,155,10872,[10872],09/16/2024,Objection_letter2,objection3,Provide the data in support of the premium trends in Exhibit I-4.,2025-02-10
MD_AMSI-134128669,MD,155,10872,[10872],09/16/2024,Objection_letter2,objection4,Provide your answers to the questions asked by the PICD actuary.,2025-02-10
MD_AMSI-134128669,MD,155,10872,[10872],09/16/2024,Objection_letter2,objection5,"Provide the most recent ten years (or most recent available) of combined ratio information by year. Thank you, Walter Dabrowski, FCAS, MAAA 410-468-2388",2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],01/28/2025,Objection_letter1,objection1,"Thank you for your recent SERFF submission.  However, it cannot be approved for use in Maine at this time.  Please review and respond to the following objection(s).      Objection 1           Comments: Please be advised that State Farm submitted this filing via the File and Use method on 10/4/2024, per the Companys understanding of Title 24-A, §2304-A. Consistent with the File and Use method and requirements to file not less than 30 days before the effective date in the statute, we processed the revised rates on 12/15/2024 to be available for use for new business on 1/15/2025 and renewal business on 3/15/2025. With our revised rates currently implemented after the 30 days the superintendent has to act, we will continue with our originally communicated effective dates of 1/15/2025 and 3/15/2025, respectively. If the Bureau believes that State Farm has misinterpreted the states filing laws, please provide what authority the Bureau is relying on, and we would be welcome to arrange a call to further discuss your request. The superintendent did act in the form of objections. Maine is a file for approval with a 30 deemer clause not ""file and use"". Title 24-A, §2304-A. states that filing will be made public once they are approved. Section 5 carves out only specially rate inland marine risks which is not what this filing is. The SERFF rules making this clear are below. Available Filing Modes: Prior Approval  24-A M.R.S. §§ 2304-A and 2412 state that filings are to be made no less than 30 days in advance of their stated effective/delivery date.  Filings may be deemed approved if the filing is not acted upon within 30 days. Acted upon means approved, disapproved, rejected, withdrawn, an objection letter, an extension granted, or there has been a request for additional information Please update this filings effective date so I can approve it.",2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],01/17/2025,Objection_letter2,objection1,"Thank you for your recent SERFF submission.  However, it cannot be approved for use in Maine at this time.  Please review and respond to the following objection(s).      Objection 1           Comments: Please update the effective date of this filing so I can approve it.",2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],12/30/2024,Objection_letter3,objection1,"Objection 1           - Response to 12-5 Objection (Supporting Document)           Comments: RE: Revised Exhibit 1G Please provide justification for Wind/Hail Loss Trend selections. Specifically, the Selected Prospective Frequency seems overstated as all credibility-weighted trends are negative.",2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],12/30/2024,Objection_letter3,objection2,"Objection 2           - Response to 12-5 Objection (Supporting Document)           Comments: RE: Revised Exhibit 1G Please provide justification for OEC Loss Trend selections. Specifically, the Selected Prospective Frequency trend seems overstated.",2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],12/30/2024,Objection_letter3,objection3,Objection 3           - Response to 12-5 Objection (Supporting Document)           Comments: RE: Objection responses Supplemental Exhibit Y shows the details of this credibility methodology along with a hypothetical example. Supplemental Exhibit & shows the details of this credibility methodology along with a hypothetical example Neither of these exhibits appear to be attached. Please provide them.,2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],12/30/2024,Objection_letter3,objection4,Objection 4           - Response to 12-5 Objection (Supporting Document)           Comments: RE: Objection Response 3 Please also provide the model versions and inputs.,2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],12/30/2024,Objection_letter3,objection5,Objection 5           - Response to 12-5 Objection (Supporting Document)           Comments: RE: Supplemental Exhibit 2E Please provide justification for Selected Prospective Premium Trend of -0.3%.,2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],12/30/2024,Objection_letter3,objection6,Objection 6           - Response to 12-5 Objection (Supporting Document)           Comments: RE: Supplement Exhibit 2F Please provide justification for Fire-Lightning and Wind/Hail Selected Historical Severity trends.,2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],12/30/2024,Objection_letter3,objection7,Objection 7           - Response to 12-5 Objection (Supporting Document)           Comments: RE: Supplemental Exhibit 2P Why does this say Iowa? SERFF Tracking #: SFMA-134246231 State Tracking #: Company Tracking #: HO-47216 State: Maine Filing Company: State Farm Fire and Casualty Company TOI/Sub-TOI: 04.0 Homeowners/04.0000 Homeowners Sub-TOI Combinations Product Name: HO-47216 Project Name/Number: HO-47216/HO-47216 PDF Pipeline for SERFF Tracking Number SFMA-134246231 Generated 02/05/2025 01:59 AM,2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],12/30/2024,Objection_letter3,objection8,Objection 8           - Response to 12-5 Objection (Supporting Document)           Comments: RE: Supplemental Exhibit 2O Please provide underlying support for the following: ULAE (28.5%) AIY Trend (1.9%) CW Projected 5yr LR (77.6%) ME VE Ratio (8.2%) Credibility (0.50),2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],12/30/2024,Objection_letter3,objection9,Objection 9           - Response to 12-5 Objection (Supporting Document)           Comments: RE: Supplemental Exhibit 3O Please provide underlying support for the following: ULAE (21.2%) CW Projected 5yr LR (82.5%) ME P&C 8.4% Credibility (0.36),2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],12/05/2024,Objection_letter4,objection1,"Objection 1           - Explanatory Memorandum (Supporting Document)           Comments: RE: Exhibit 1G, Loss Trends and Selections Countrywide excl. CA, FL, TX data is used as the complement of credibility Please provide the Countrywide fits as well as the credibility used in the Credibility Weighted Trend calculation.",2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],12/05/2024,Objection_letter4,objection2,"Objection 2           - Explanatory Memorandum (Supporting Document)           Comments: RE: Exhibit 1H, Policies in Force Trends and Selections Countrywide excl. CA, FL, TX data is used as the complement of credibility. Please provide the Countrywide fits as well as the credibility used in the Credibility Weighted Trend calculation.",2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],12/05/2024,Objection_letter4,objection3,"Objection 3           - Explanatory Memorandum (Supporting Document)           Comments: RE: Exhibit 1J, Provisions Please provide underlying support for Non-Hurricane Catastrophe Provision of 0.1462 and Projected AIY per EP of 0.4471, and (2) LAE Factor of 10%. Please also provide the model versions and inputs.",2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],12/05/2024,Objection_letter4,objection4,Objection 4           - Explanatory Memorandum (Supporting Document)           Comments: RE: Exhibit 1B Col (2) is derived by comparing incurred claim counts to a credibility standard using classical credibility Please provide the credibility standard and underlying support.,2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],12/05/2024,Objection_letter4,objection5,"Objection 5           - Explanatory Memorandum (Supporting Document)           Comments: RE: Exhibit 1J, Provisions Please provide how the Total Provision per EP of 12.4% was calculated.",2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],12/05/2024,Objection_letter4,objection6,"Objection 6           - Explanatory Memorandum (Supporting Document)           Comments: RE: Exhibit 2B, Maine Renters State Level Indicated Change Please provide underlying support for ME and CW Credibility-Weighted Current Level Non-Cat Loss Ratios, Cat Provision as a % of CLEP, and Fixed and Variable expenses.",2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],12/05/2024,Objection_letter4,objection7,"Objection 7           - Explanatory Memorandum (Supporting Document) SERFF Tracking #: SFMA-134246231 State Tracking #: Company Tracking #: HO-47216 State: Maine Filing Company: State Farm Fire and Casualty Company TOI/Sub-TOI: 04.0 Homeowners/04.0000 Homeowners Sub-TOI Combinations Product Name: HO-47216 Project Name/Number: HO-47216/HO-47216 PDF Pipeline for SERFF Tracking Number SFMA-134246231 Generated 02/05/2025 01:59 AM            Comments: RE: Exhibit 3B, Maine Condominium Unitowners State Level Indicated Change Please provide underlying support for ME and CW Credibility-Weighted Current Level Non-Cat Loss Ratios, Cat Provision as a % of CLEP, and Fixed and Variable expenses.",2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],12/05/2024,Objection_letter4,objection8,Objection 8           - Explanatory Memorandum (Supporting Document)           Comments: RE: Exhibit 1M Please provide the version of each model used.,2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],12/05/2024,Objection_letter4,objection9,Objection 9           - Response to 10-29 Objection (Supporting Document)           Comments: RE: GLM Exhibit 2 Loyalty or Tenure | r_yrs_sf | Consecutive years that a policy has been with State Farm | Numeric | Predictor Are customers being charged different rates based on predicted tenure? Maine does not allow predicted tenure in rating.,2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],12/05/2024,Objection_letter4,objection10,Objection 10           - Response to 10-29 Objection (Supporting Document)           Comments: RE: GLM Exhibit 2 Customer Rating Index | o_cri_fctr | Customer Rating Index model factor | Numeric | Control/Offset Please explain this further. How is this calculated?,2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],12/05/2024,Objection_letter4,objection11,Objection 11           Comments: RE: Confidential GLM Exhibits 7A-7J Please explain the ME Weighted Guideline Factors. Please provide the complements and weights.,2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],12/05/2024,Objection_letter4,objection12,Objection 12           - Response to 10-29 Objection (Supporting Document)           Comments: What variables have been included in the model that are not explicitly part of the rating system on file with the Department?,2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],10/29/2024,Objection_letter5,objection1,Objection 1           Comments: RE: Rate/Rule Schedule Please provide a walk through example of a policyholder receiving a 44.8% increase as a result of this filing. Please do the same for the 33.6% decrease.,2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],10/29/2024,Objection_letter5,objection2,Objection 2           - Explanatory Memorandum (Supporting Document)           Comments: Please provide the indication and supporting exhibits in excel with working formulas in addition to the provided pdf.,2025-02-10
ME_SFMA-134246231,ME,176,25143,[25143],10/29/2024,Objection_letter5,objection3,Objection 3           - Explanatory Memorandum (Supporting Document)           Comments: Please provide a histogram by percentage amounts and by dollar amounts for this rate change.,2025-02-10
