SERFF#,Filing Type,Date Submitted,SERFF Status,State,Group_Code,Company_Code,Company_Code_all,Objection_letter_date,Objectionletter#,Objection#,Objection,download_week
CA_ALSE-134306035,Rule,11/01/2024,Pending State Action,CA,8,10358,[10358],01/31/2025,Objection_letter1,objection04,"0 Homeowners/04.0000 Homeowners Sub-TOI Combinations Product Name: EIC Home, Condo, Renters, Dwelling Fire Project Name/Number: Underwriting Guidelines/RITM06249095 PDF Pipeline for SERFF Tracking Number ALSE-134306035 Generated 02/12/2025 06:04 AM  -How many policy holders will be impacted by this change? -What is the impact, premium or other consequences from the proposed change?",2025-02-17
CA_ALSE-134306035,Rule,11/01/2024,Pending State Action,CA,8,10358,[10358],01/23/2025,Objection_letter2,objection2,Please confirm whether you are pausing non-renewals for all 885 policies? Or are you only pausing non-renewals for policies specifically included in the moratorium?,2025-02-17
CA_ALSE-134306035,Rule,11/01/2024,Pending State Action,CA,8,10358,[10358],01/14/2025,Objection_letter3,objection2,"Based on your book of business, what is the premium amount for the 885 policies that will be non-renewed?",2025-02-17
CA_ALSE-134306035,Rule,11/01/2024,Pending State Action,CA,8,10358,[10358],01/14/2025,Objection_letter3,objection3,"Have you started to non-renew policyholders? If so, how many?",2025-02-17
CA_ALSE-134306035,Rule,11/01/2024,Pending State Action,CA,8,10358,[10358],01/14/2025,Objection_letter3,objection4,When do you plan to start with the non-renewals?,2025-02-17
CA_ALSE-134306035,Rule,11/01/2024,Pending State Action,CA,8,10358,[10358],01/14/2025,Objection_letter3,objection5,"In light of Commissioner Laras 1-year moratorium to protect Southern California homeowners, will certain non-renewals be deferred or reconsidered?",2025-02-17
CA_ALSE-134306035,Rule,11/01/2024,Pending State Action,CA,8,10358,[10358],12/24/2024,Objection_letter4,objection2,"Is there an accompanying already approved rate filing associated with the proposed wildfire score change? If so, please provide the relevant filing details for reference.",2025-02-17
CA_ALSE-134306035,Rule,11/01/2024,Pending State Action,CA,8,10358,[10358],12/24/2024,Objection_letter4,objection3,Please confirm whether the mentioned 7.5% of non-renewals is due to the proposed changes to your wildfire score.,2025-02-17
CA_ALSE-134306035,Rule,11/01/2024,Pending State Action,CA,8,10358,[10358],12/24/2024,Objection_letter4,objection4,"Please clarify what the 7.5% represents in numerical terms with respect to your book of business? For example, how many policies does the 7.5% correspond to?",2025-02-17
CA_ALSE-134306035,Rule,11/01/2024,Pending State Action,CA,8,10358,[10358],12/24/2024,Objection_letter4,objection5,"Given that some policyholders will be renewed under the new scoring model, please clarify how these renewed policy holders will be rated under the proposed changes? Additionally, please provide the associated rate filing that reflects this information.",2025-02-17
CA_ALSE-134306035,Rule,11/01/2024,Pending State Action,CA,8,10358,[10358],12/19/2024,Objection_letter5,objection1,"As noted in previous filings, all Proposition 103 filings - including form and rule filings, must undergo review for rate impact, irrespective of whether they are rate filings. Please re-submit the Deemer waiver language exactly as we requested, without the addition of notes or clauses as you did 12-18-2024. Please note that if the Deemer waiver is not submitted as requested, the filing may be subject to a notice of hearing. We ask that Encompass Insurance Company submits a SERFF note with the wording below to waive the Deemer provisions without additions or modifications: Regarding the above-referenced rate application, Encompass Insurance Company (""applicant"") hereby waives all Deemer provisions etc. If the applicant wishes to reactivate the Deemer provisions, the applicant will submit a request to reactivate in writing to CDI via SERFF. The Deemer provisions will reactivate five days after the Department receives the written request to reactivate. After reactivation, the parties will have 15 days before the 60-day Deemer runs and 125 days before the 180-day Deemer runs.",2025-02-17
CA_ALSE-134306035,Rule,11/01/2024,Pending State Action,CA,8,10358,[10358],12/18/2024,Objection_letter6,objection1,"Our records indicate that the deemer date for this filing is January 07, 2025. In order for us to complete our review, we request a waiver of the deemer. We ask that Encompass Insurance Company submits a SERFF note with the wording below to waive the deemer provisions: Regarding the above-referenced rate application, Encompass Insurance Company (""applicant"") hereby waives all deemer provisions etc. If the applicant wishes to reactivate the deemer provisions, the applicant will submit a request to reactivate in writing to CDI via SERFF. The deemer provisions will reactivate five days after the Department receives the written request to reactivate. After reactivation, the parties will have 15 days before the 60-day Deemer runs and 125 days before the 180-day Deemer runs.",2025-02-17
CA_ALSE-134306035,Rule,11/01/2024,Pending State Action,CA,8,10358,[10358],12/04/2024,Objection_letter7,objection1,Objection 1           - New Prior Approval Rate Application (Supporting Document)           Comments: 1. Please provide the Homeowners or Residential Property Questionnaire. All homeowners or residential property lines of business must include a completed Homeowners or Residential Property questionnaire. For further information please see page 6 of the Prior Approval Rate Filing Instructions.,2025-02-17
CA_ALSE-134306035,Rule,11/01/2024,Pending State Action,CA,8,10358,[10358],12/04/2024,Objection_letter8,objection1,"Objection 1           - Tracked Version of Underwriting Guidelines (Supporting Document)           Comments:  Regarding the Wildfire Risk Score change from 50 to 20, answer the following questions: 1.What is the impact/consequences from changing it from what it is now (50) to what being proposed (20)? 2.Please explain whether the proposed change in the Wildfire Risk Score is positive or negative for the policyholders. 3.Will policyholders be non-renewed based on this new proposed Wildfire Risk Score? 4.What prompted the change in Wildfire Risk Score?",2025-02-17
CA_ALSE-134306035,Rule,11/01/2024,Pending State Action,CA,8,10358,[10358],12/04/2024,Objection_letter8,objection2,"Objection 2           - New Prior Approval Rate Application (Supporting Document)           - Tracked Version of Underwriting Guidelines (Supporting Document)           Comments: 1. Given the numerous changes being proposed, please provide a detailed explanation of how these proposed changes will not result in any rate impact, as stated in your memorandum. It is important to understand how the proposed changes align with maintaining rate neutrality, particularly given the potential implications these changes could have on your underwriting/eligibility process.",2025-02-17
CA_ALSE-134306035,Rule,11/01/2024,Pending State Action,CA,8,10358,[10358],12/04/2024,Objection_letter9,objection1,"Objection 1           - Underwriting Guidelines, null (Rate)           - Tracked Version of Underwriting Guidelines (Supporting Document)           Comments: 1. Please explain why the previous version of the underwriting guidelines (CA HO EIC ER52305 Home Underwriting Guidelines) differ from CA EIC Property UW Guideline (clean/final)? They differ in format and in information contained within the two documents.",2025-02-17
CA_ALSE-134306035,Rule,11/01/2024,Pending State Action,CA,8,10358,[10358],12/04/2024,Objection_letter9,objection2,"Objection 2           - Attachment A  (Supporting Document)           - Tracked Version of Underwriting Guidelines (Supporting Document)           Comments: 1. Attachment A (Exhibit 18) page 3- includes changes regarding wildfire risk score. However, the clean/final CA EIC Property UW guidelines found under the rate/rule tab are different than that of Exhibit 18. Additionally, the proposed tracked changes for CA EIC Property UW guidelines includes many proposed changes that are additional to the wildfire risk score. 1A. Explain whether you are proposing the changes found within CA EIC Property UW guidelines which include the maximum binding authority from $1,500,000 to $1,750,000, addition of Loss History found on page 8, removal of wood burning stove requirements on page 12, among other changes. 2. If your changes indeed include changes found under the redlined CA EIC Property UW guidelines, complete/provide the following: 2A. Add summary of proposed changes in the memorandum and or/exhibit 18. Additionally, explain the reason for the changes being proposed. Lastly, include the current CA EIC Property UW guidelines in place.",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],02/07/2025,Objection_letter1,objection1,"I took a look at the new rate filing, SERFF #AMSI-134390951. Please update the explanatory memo in that filing to reflect the changes the company is making to the rate manual. Specifically, the explanatory memo should include information indicating that the ""Earthquake Coverage"" premium will be removed from the total premium calculation in the rating algorithm. Note that any changes to the rate manual require prior approval. If you do not wish to update the explanatory memo in SERFF filing #AMSI- 134390951, you will need to update the effective date in this filing and revise the redline rate manual document in SERFF filing #AMSI-134390951. Let me know if you have any questions.",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],01/29/2025,Objection_letter2,objection1,"As the company previously mentioned, the changes to the underwriting eligibility guidelines were not submitted for prior approval, but to keep the department abreast of the current underwriting eligibility guidelines. Even though the company is not revising rates in this filing, the company has made changes to their rating algorithm by removing the EQ premium. A change to your rating algorithm requires prior approval. A new effective date for new and renewal business is needed so that the department is aware of when the changes will be implemented. Please submit a post-submission update in SERFF with a new effective date (a future date) for new and renewal business.",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],01/29/2025,Objection_letter2,objection2,Submit a rating sample with the updated rating algorithm.,2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],01/09/2025,Objection_letter3,objection1,"The company has been advised that they either need to remove the wildfire rating component from their territory factor(s) and submit revised territory factors that do not account for any wildfire risk whatsoever, or file wildfire mitigation discounts for the 12 mandatory factors. Based on the last meeting Blake R., it was noted that the company will be revising their territory factors so that they do not account for any wildfire risk and this will be addressed in the upcoming rate filing. Please confirm this is still the company's position. If you have decided to file wildfire mitigation discounts instead, you should submit a rule filing as soon as possible and comply with California insurance code, section 2644.9.",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],01/09/2025,Objection_letter3,objection2,Please update the effective date for new and renewal business. This can be done in a post-submission update in SERFF.,2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],11/27/2024,Objection_letter4,objection1,"Since EQ is provided through CEA: a. Please remove the ""Earthquake Coverage"" premium from the calculation of the total premium found in the rating algorithm. b. Please provide an affirmative statement confirming that the company will no longer include EQ premium and losses in their ratemaking data.",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],11/27/2024,Objection_letter4,objection2,What percentage of earthquake premiums and losses are represented in your current ratemaking data? Have a great Thanksgiving holiday!,2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],10/15/2024,Objection_letter5,objection1,"The EQ filing should be filed under Filing Company ASI Select Insurance Corp. Within that filing, you can mention that you are adopting CEA rates and submit those rates you currently use from CEA. Also, EQ rates should be removed from your rating under this HOU program. I haven't seen the request for a meeting. However, I can provide some times I have available for a call. Wednesday 11/6/2024 from 12:00 pm -12:30 pm Tuesday 11/12/2024 from 7:30 am -8:00 am Wednesday 11/13/2024 from 9:00 am - 9:30 am All calls are in PST.",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],10/15/2024,Objection_letter5,objection2,"Even if relatively minimal wildfire/fire exposures existed in your initial analysis of the ISO CA CAT Fire/Wildfire loss data, the territory factor used in your rating algorithm was developed (during the initial new program filing) to account for fire/wildfire risks and the impact those wildfire risks would have had on future losses. These risks were rated under the ""other perils "" category. Additionally, ratemaking is prospective. The complement data submitted in this filing is for the years 2017 to 2023; This ISO complement data currently takes fire/wildfire risks into account. Since you have confirmed that wildfire risks were present in the development of your rates for the HOU program, the territory factor does not need to be removed, no attestation letter is needed, and the ISO complement can be used in this filing.  You will need to submit a rule filing to comply with CCR 2644.9. Please submit that rule filing to implement the Wildfire Mitigation Discounts into this HOU (HO-6) program since rates are based upon a policyholder or applicant’s wildfire/fire risk. Once this rule filing is submitted, provide me with the filing number.",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],09/09/2024,Objection_letter6,objection1,"The Scheduled Personal Property coverage is offered through your HOU program. If the coverage is offered under this HOU program, yes, the data for those risks should be included in this filing. You mentioned Application, page 5 in filing 22-1859, incorrectly included the inland premium for all lines under HOH. This filing is being reviewed for the HOU program. Why is earned premium from inland marine business/risks being included in the HOU data for this filing? a. Is the Scheduled Personal Property coverage offered in your Inland Marine line?",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],09/09/2024,Objection_letter6,objection2,"My previous question in the last objection letter sent (#2. c)) was targeted specifically to address the territory rating factor used in your rating algorithm. Thank you for providing the new program filing #. I learned, after going back to filing #15-228, that the territory factors were developed using actual California industry losses and modeled losses which consisted of premium and loss data reported to ISO. The ISO Fast Track industry data represents data consolidated from reporting by individual companies. The ISO fast track combined data takes fire/wildfire risks into account. This means that your original territory rates were developed with data that accounts for wildfire/fire risk exposures. Please remove the territory factor, provide support for your current territory factor (by matching rate to risk based on expected future loss cost at segment level or using loss ratios), or submit a rule filing to implement the Wildfire Mitigation Discounts into this HOU program. a. If you decide you are removing the territory factor and determine that you do not rate in whole or in part using wildfire risks, then provide the following Attestation letter via ""Note to Filer"" with the following subject line ""Wildfire Mitigation Discount - Attestation Letter"". Please note that an Attestation letter is required for all subsequent rate filings. The submission should follow this same format with a ""Note to Filer"", same attestation wording, and with the same subject line. “I declare under penalty of perjury under the laws of the State of California, that [Company Name]’s [Program Name], related to filing #[XX-XXXX], does not apply or use rate(s) that are developed with, determined by or relies upon, in whole or in part, a rating plan that segments, creates a rate differential, or surcharges the premium based upon a policyholder or applicant’s wildfire risk.” b. For reasons stated in #2 (above), the ISO complement data is not appropriate to use in this filing. Please choose another complement to be used in Exhibit 8 for both the (Including NR and Excluding NR) standard exhibits.",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],09/09/2024,Objection_letter6,objection3,"The updated UW eligibility guidelines were effective March 17, 2024. How many policies have been non-renewed due to the changes reviewed in this current filing, from March 17, 2024 to date?",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],09/09/2024,Objection_letter6,objection4,"There is no objection to you offering earthquake coverage through the California Earthquake Authority. However, you should be tracking the premium and losses separately under the EQ line. Earthquake (EQ) premium and loss data should also be reported under LOB 12. Please submit an EQ filing for your EQ coverage (this will be under the EQ line).",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],08/27/2024,Objection_letter7,objection1,"The Scheduled Personal Property coverage is offered through your HOU program.  If the coverage is offered under this HOU program, yes, the data for those risks should be included in this filing. You mentioned Application, page 5 in filing 22-1859, incorrectly included the inland premium for all lines under HOH. This filing is being reviewed for the HOU program. Why is earned premium from inland marine business/risks being included in the HOU data for this filing? a. Is the Scheduled Personal Property coverage offered in your Inland Marine line?",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],08/27/2024,Objection_letter7,objection2,"My previous question in the last objection letter sent (#2. c)) was targeted specifically to address the territory rating factor used in your rating algorithm. Thank you for providing the new program filing #. I learned, after going back to filing #15-228, that the territory factors were developed using actual California industry losses and modeled losses which consisted of premium and loss data reported to ISO. The ISO Fast Track industry data represents data consolidated from reporting by individual companies. The ISO fast track combined data takes fire/wildfire risks into account. This means that your original territory rates were developed with data that accounts for wildfire/fire risk exposures. Please remove the territory factor, provide support for your current territory factor (by matching rate to risk based on expected future loss cost at segment level or using loss ratios), or submit a rule filing to implement the Wildfire Mitigation Discounts into this HOU program. a. If you decide you are removing the territory factor and determine that you do not rate in whole or in part using wildfire risks, then provide the following Attestation letter via ""Note to Filer"" with the following subject line ""Wildfire Mitigation Discount - Attestation Letter"". Please note that an Attestation letter is required for all subsequent rate filings. The submission should follow this same format with a ""Note to Filer"", same attestation wording, and with the same subject line. “I declare under penalty of perjury under the laws of the State of California, that [Company Name]’s [Program Name], related to filing #[XX-XXXX], does not apply or use rate(s) that are developed with, determined by or relies upon, in whole or in part, a rating plan that segments, creates a rate differential, or surcharges the premium based upon a policyholder or applicant’s wildfire risk.” b. For reasons stated in #2 (above), the ISO complement data is not appropriate to use in this filing. Please choose another complement to be used in Exhibit 8 for both the (Including NR and Excluding NR) standard exhibits.",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],08/27/2024,Objection_letter7,objection3,"The updated UW eligibility guidelines were effective March 17, 2024. How many policies have been non-renewed due to the changes reviewed in this current filing, from March 17, 2024 to date?",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],08/27/2024,Objection_letter7,objection4,"There is no objection to you offering earthquake coverage through the California Earthquake Authority.  However, you should be tracking the premium and losses separately under the EQ line. Earthquake (EQ) premium and loss data should also be reported under LOB 12. Please submit an EQ filing for your EQ coverage (this will be under the EQ line).",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],07/30/2024,Objection_letter8,objection1,Why is earned premium from inland marine business/risks being included in the data for this filing? a) Is earned premium from inland marine business/risks included in the standard exhibits in this filing? b) There is a discrepancy in the data reported in Application page 5 between the last rate filing 22-1859 and this filing. The reporting information is inconsistent for the years 2020 and 2021. Provide an explanation for the Earned premium data discrepancy for the HOU program.,2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],07/30/2024,Objection_letter8,objection2,"""Questionnaire for Homeowners and Residential Property Rate, Rule, and Transferred Program Filings"": Are you rating for wildfire risks in any way in this HOU program? If not, why do you need the Wildfire score eligibility criteria and model for this HOU program? See Cal. Code Regs. Tit. 10, § 2644.9. a)  Are you currently offering Wildfire Mitigation Credits/Discounts in this HOU program? I am seeking clarity on the answer to number 3 of page 3 in the ""Questionnaire for Homeowners and Residential Property Rate, Rule, and Transferred Program Filings."" If not, have you submitted a Wildfire attestation letter to our department stating that you do not rate for wildfire risks in any way? b) What risks fall in the ""Other perils"" category? Does Wildfire/fire fall into this category? c) There is a territory factory in your rating algorithm. How did you determine rates for the territory factors? i. Are policyholders that will be non-renewed in high wildfire risk areas (zip codes)?",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],07/30/2024,Objection_letter8,objection3,Submit a markup copy of your rate manual. The zip codes you will no longer write in should be reflected in this markup.,2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],07/30/2024,Objection_letter8,objection4,Submit a markup copy of your rule manual.,2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],07/30/2024,Objection_letter8,objection5,Submit an actuarial memo with support and explanations for your trend selections.,2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],07/30/2024,Objection_letter8,objection6,"Why is there a ""workers compensation"" row in your rating algorithm?",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],07/30/2024,Objection_letter8,objection7,"Where is territory ""954"" in your rating manual? Please point me to the page number.",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],07/30/2024,Objection_letter8,objection8,Earthquake losses should be reported under your earthquake line. Are you reporting EQ premium and loss data under this line or your EQ line? a) What is the last approved CDI filing for your EQ line?,2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],07/30/2024,Objection_letter8,objection9,"Submit Exhibits 4, 5, 6, 9, 11, 12,13, 14, 15, and 19. See filing instructions.",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],07/06/2024,Objection_letter9,objection1,"According to Calendar years 2020, 2021 and 2022 of Page 5 of the application, you were/are receiving more earned premiums than you are reporting. Why are your receiving more earned premiums than reported in the ANNUAL STATEMENT? Please explain the differences with respect to the earned premium data reported from your analytics databases.",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],07/06/2024,Objection_letter9,objection2,"In the Standard Exhibits Template, the Paid Claim Counts + Closed With No Payment Claim Counts development triangle is greater than the Reported Claim Counts development triangle for the following [Accident Year Data, Development Period]: (20233,",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],07/06/2024,Objection_letter9,objection12,"Paid Claims + Claims Closed With No Payment should theoretically include only open paid claims, closed paid claims, and claims closed without payment; Reported Claims, however, include the aforementioned claim types as well as open unpaid claims. Therefore, I expect Reported Claim Counts to be greater than or equal to Paid Claim Counts + Closed With No Payment Claim Counts. See Exhibit 7. Please correct your data, or provide an explanation. HOU- Includes Non -Renewals:",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],06/12/2024,Objection_letter10,objection1,"Rate Template Page 6.1 experience credibility does not match the experience credibility calculated based on the data in Standard Exhibit 7 using 3 years of *accident year data* Incurred Claim Counts (excludes CNP); 3,000 as the credibility standard; and Sqrt(n/N) [Square Root Rule] to calculate partial credibility. a. Please resubmit ""Exhibit 10v2 - Incl NRN"" with the non-CAT incurred number of claims listed by accident year (see Exhibit 7).",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],06/12/2024,Objection_letter10,objection2,"Comparison of Calendar Year Earned Premium does not match between Application Page 5 and Exhibit 5 for years 20204, 20214, and 20224.",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],06/12/2024,Objection_letter10,objection3,"Are there currently any open, unpaid claims? a. Confirm all open claims have nonzero payments on them.",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],06/12/2024,Objection_letter10,objection4,"Annual Closed Claim Counts (including CNP) does not match between Exhibit 7 (Converted) and Exhibit 8 for the following years: 20183, 20193, 20203, 20213, 20223, 20233. Yes, Exhibit 7 is based on accident year/quarter and exhibit 8 is based on calendar year. However, when converted, the values should match. For example, when converting the accident year 2023 (in Exhibit 7), the SERFF Tracking #: AMSI-133948945 State Tracking #: 24-362 Company Tracking #: CA 2024-03 HOS & HOU RULE ONLY State: California Filing Company: ASI Select Insurance Corp TOI/Sub-TOI:",2025-02-17
CA_AMSI-133948945,Rule,02/01/2024,Pending State Action,CA,155,14042,[14042],06/12/2024,Objection_letter10,objection04,0 Homeowners/04.0000 Homeowners Sub-TOI Combinations Product Name: Homeowners Project Name/Number: CA 2024-03 HOS & HOU Rule Only/ PDF Pipeline for SERFF Tracking Number AMSI-133948945 Generated 02/12/2025 06:09 AM  annual closed Claim counts (including CNP) in Exhibit should match the Rolling 4-quarter data for 20233 in cell K37 in Exhibit 8. Please correct your data.,2025-02-17
