SERFF#,State,Filing Type,TOI,Sub-TOI,Group_Code,Company_Code,Company_Code_all,Objection_letter_date,Objectionletter#,Objection#,Objection,download_week
NV_HART-134384733,NV,Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,91,37478,"[37478, 38261, 30104, 34690, 27120, 22357, 19682]",01/22/2025,Objection_letter3,objection1,"This filing is disapproved pending resolution of the following objections.      Objection 1           Comments: Please submit the updated rule page(s) which reflect the change to the credit card surcharge. This rule should specify the payment structure. If rate pages are affected as well, then this filing will need to be withdrawn and resubmitted as a rate/rule filing and the appropriate page(s) of the rate pages will need to be submitted.",2025-03-10
OK_AMSI-134369860,OK,Form,04.0 Homeowners,04.0004 Tenant Homeowners,155,38628,[38628],No objections,No objections,No objections,No objections,2025-03-10
OR_AMSI-134435230,OR,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,155,10872,"[10872, 42994]",No objections,No objections,No objections,No objections,2025-03-10
OR_AMSI-134435390,OR,Form,04.0 Homeowners,04.0002 Mobile Homeowners,155,10194,[10194],No objections,No objections,No objections,No objections,2025-03-10
OR_HART-134431622,OR,Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,91,37478,"[37478, 38261, 30104, 34690, 27120, 22357, 19682]",No objections,No objections,No objections,No objections,2025-03-10
OR_LEMO-134373821,OR,Rate/Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,5032,16023,[16023],02/10/2025,Objection_letter1,objection1,"Objection 1           - Lemonade Insurance Company Underwriting Guidelines, Complete Set (Rate)           Comments: ORS 746.686(1)(b) does not allow an insurer to use the first claim of an applicants claim history to decide whether to issue a policy.  Please explain how items 8)d) and 8)e)ii.) on page 7 and 8 comply or revise if necessary.",2025-03-10
OR_LEMO-134373821,OR,Rate/Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,5032,16023,[16023],02/10/2025,Objection_letter1,objection2,"Objection 2           - Lemonade Insurance Company Underwriting Guidelines, Complete Set (Rate)           Comments: OAR 836-081-0010(1)(k) does not allow an insurer to use previous rejection or cancellation of an insurance policy as an eligibility criterion. Please explain how item 8)j) on page 8 complies or revise if necessary.",2025-03-10
PA_LEMO-134412814,PA,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,5032,16023,[16023],02/26/2025,Objection_letter1,objection1,"Objection 1           - Notice of Cancellation of Insurance, LEM-PA-NOTICE01, (02-25) (Form)           - Notice of Non-Renewal of Insurance, LEM-PA-NOTICE02, (02-25) (Form)           Comments: Change the form type on the form schedule to CNR",2025-03-10
PA_LEMO-134412814,PA,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,5032,16023,[16023],02/26/2025,Objection_letter1,objection2,"Objection 2           - Notice of Cancellation of Insurance, LEM-PA-NOTICE01, (02-25) (Form)           - Notice of Non-Renewal of Insurance, LEM-PA-NOTICE02, (02-25) (Form)           Comments: (1)  The form shall be clearly labeled: Notice of Cancellation or Refusal to Renew. (9)  Each provision of the notice shall be set forth in clear and understandable terms. To assure adequate notice, the form label shall be set at the top of the form in roman type no smaller than 14 point modern type, all capitals. The remainder of the notice shall be set in roman type no smaller than ten point modern type, two points leaded. 31 Pa. Code § 59.6. Notice of cancellation or refusal to renew; requirements. Correct the form title on both of these forms to show: NOTICE OF CANCELLATION OR REFUSAL TO RENEW",2025-03-10
PA_LEMO-134412814,PA,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,5032,16023,[16023],02/26/2025,Objection_letter1,objection3,"Objection 3           - Notice of Cancellation of Insurance, LEM-PA-NOTICE01, (02-25) (Form)           - Notice of Non-Renewal of Insurance, LEM-PA-NOTICE02, (02-25) (Form)           Comments: (3)  The date, not less than 30 days after the date of delivery or mailing, on which such cancellation or refusal to renew is to become effective shall be clearly indicated. 31 Pa. Code § 59.6. Notice of cancellation or refusal to renew; requirements. Add a mailing date field to these cancellation notices. We note there is a ""date sent"" field under the cancellation reason field on LEM-PA-NOTICE01 (02-25), however, that would only apply in a non-pay cancellation situation.",2025-03-10
SC_LBPM-134400516,SC,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,42404,"[42404, 23035, 23043, 33600, 12484]",02/24/2025,Objection_letter1,objection1,The Department has reviewed this filing and asks that the following item(s) be addressed: Policy DeclarationsFMHO 3047 must contain the same exact language that appears in Regulation 69-56 C(2).  Please revise accordingly.,2025-03-10
SC_LBPM-134400516,SC,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,42404,"[42404, 23035, 23043, 33600, 12484]",02/20/2025,Objection_letter2,objection1,"The Department has reviewed this filing and asks that the following item(s) be addressed: Policy DeclarationsFMHO 3047: This declaration does not appear to be in compliance with the requirements set forth by regulation 69-56 C(2); the required language set forth by Regulation 69-56 C (2) must appear on the declaration unless the required language is printed on the policy jacket. If the policy jacket is applicable, please provide the approved SERFF tracking number of the policy jacket. If not, please amend the declaration page.  While the required language may be added by an amendatory endorsement, the referenced regulation states that it shall appear on the declaration or policy jacket.",2025-03-10
SC_LBPM-134401992,SC,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,42404,"[42404, 33600]",02/21/2025,Objection_letter1,objection1,"The Department has reviewed this filing and asks that the following item(s) be addressed: Your [Policy Type] Insurance Application PROP 0017: The company must revise the application  to display ""120 days"", not ""90 days"" per the requirements set forth in Statute 38-75-1200.",2025-03-10
SC_LBPM-134406290,SC,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,23043,"[23043, 12484]",02/28/2025,Objection_letter1,objection1,It appears the revision is reducing the number of days for all non-renewals from 90 days to 60 days.,2025-03-10
SC_LBPM-134406290,SC,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,23043,"[23043, 12484]",02/28/2025,Objection_letter1,objection2,"While the law allows for the company to amend their nonrenewal time, and the coverages are not reduced, please be advised that the endorsement changes the terms of the policy, therefore the company still has an obligation to notify current policyholders who may be impacted by the change.",2025-03-10
SC_LBPM-134406290,SC,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,23043,"[23043, 12484]",02/28/2025,Objection_letter1,objection3,Please confirm that the current policyholders will be notified in accordance with the renewal requirements set forth by Statute 38- 75-750.,2025-03-10
TN_ALSE-134450014,TN,Rate,04.0 Homeowners,04.0003 Owner Occupied Homeowners,8,37907,[37907],No objections,No objections,No objections,No objections,2025-03-10
TX_HART-134398746,TX,Rate/Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,91,11000,"[11000, 22357]",No objections,No objections,No objections,No objections,2025-03-10
TX_HART-134405817,TX,Rate/Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,91,38253,"[38253, 22357]",No objections,No objections,No objections,No objections,2025-03-10
TX_HART-134407174,TX,Rate/Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,91,38253,"[38253, 27120]",No objections,No objections,No objections,No objections,2025-03-10
TX_HART-134429816,TX,Rate/Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,91,38261,"[38261, 38253, 34690, 11000, 27120, 29459, 22357, 19682]",No objections,No objections,No objections,No objections,2025-03-10
TX_SFMA-134410201,TX,Rate/Rule,04.0 Homeowners,04.0002 Mobile Homeowners,176,43419,[43419],02/24/2025,Objection_letter1,objection1,"Objection 1           Comments: Does the companys reinsurance contracts cover FAIR Plan assessments? If so, a) Under what circumstances, and b) Does it cover this 2024 assessment?",2025-03-10
TX_SFMA-134410201,TX,Rate/Rule,04.0 Homeowners,04.0002 Mobile Homeowners,176,43419,[43419],02/21/2025,Objection_letter2,objection1,"Objection 1           Comments: On the General Information tab, send a post submission update removing the word ""NA"" from the reference organization, number and title field. We require this field to stay blank unless you are referencing an advisory organization filing.",2025-03-10
TX_SFMA-134410201,TX,Rate/Rule,04.0 Homeowners,04.0002 Mobile Homeowners,176,43419,[43419],02/21/2025,Objection_letter2,objection2,objection 2: Send a revised filing memorandum by removing the other lines of insurance TDI file numbers and leaving only the Mobile Homeowners TDI file number.,2025-03-10
TX_SFMA-134410201,TX,Rate/Rule,04.0 Homeowners,04.0002 Mobile Homeowners,176,43419,[43419],02/21/2025,Objection_letter2,objection3,Objection 3           - Filing Memorandum (Rates/Rules) (Supporting Document)           Comments: Based on,2025-03-10
TX_SFMA-134410201,TX,Rate/Rule,04.0 Homeowners,04.0002 Mobile Homeowners,176,43419,[43419],02/21/2025,Objection_letter2,objection4,"Objection 4           Comments: On item 9 of the state specific tab, by post submission update provide the correct answer. You must answer either Yes or No to the Risk Purchasing Group question. You answered N/A, which is incorrect.",2025-03-10
TX_SFMA-134410201,TX,Rate/Rule,04.0 Homeowners,04.0002 Mobile Homeowners,176,43419,[43419],02/21/2025,Objection_letter2,objection5,"Objection 5           Comments: There is incomplete information in the Rate Data section on the Rate/Rule Schedule. You must complete these fields for all rate/rule filings. Complete the Rate Data fields by submitting a post submission update.  For rule only filings, please enter 0 on all fields. SERFF Tracking #: SFMA-134410201 State Tracking #: S727779 Company Tracking #: MH-48034 State: Texas Filing Company: State Farm Lloyds TOI/Sub-TOI: 04.0 Homeowners/04.0002 Mobile Homeowners Product Name: MH-48034 Project Name/Number: MH-48034/MH-48034 PDF Pipeline for SERFF Tracking Number SFMA-134410201 Generated 03/05/2025 02:42 AM  For questions, contact the Property and Casualty Actuarial Office at PCActuarial@tdi.texas.gov.",2025-03-10
TX_SFMA-134410218,TX,Rate/Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,176,43419,[43419],02/24/2025,Objection_letter1,objection1,"Objection 1           Comments: Does the companys reinsurance contracts cover FAIR Plan assessments? If so, a) Under what circumstances, and b) Does it cover this 2024 assessment?",2025-03-10
TX_SFMA-134410218,TX,Rate/Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,176,43419,[43419],02/21/2025,Objection_letter2,objection1,"Objection 1           Comments: On the General Information tab, send a post submission update removing the word ""NA"" from the reference organization, number and title field. We require this field to stay blank unless you are referencing an advisory organization filing.",2025-03-10
TX_SFMA-134410218,TX,Rate/Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,176,43419,[43419],02/21/2025,Objection_letter2,objection2,objection 2: Send a revised filing memorandum by removing the other lines of insurance TDI file numbers and leaving only the Homeowners TDI file number.,2025-03-10
TX_SFMA-134410218,TX,Rate/Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,176,43419,[43419],02/21/2025,Objection_letter2,objection3,Objection 3           - Filing Memorandum (Rates/Rules) (Supporting Document)           Comments: Based on,2025-03-10
TX_SFMA-134410218,TX,Rate/Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,176,43419,[43419],02/21/2025,Objection_letter2,objection4,"Objection 4           Comments: On item 9 of the state specific tab, by post submission update provide the correct answer. You must answer either Yes or No to the Risk Purchasing Group question. You answered N/A, which is incorrect.",2025-03-10
TX_SFMA-134410218,TX,Rate/Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,176,43419,[43419],02/21/2025,Objection_letter2,objection5,"Objection 5           Comments: There is incomplete information in the Rate Data section on the Rate/Rule Schedule. You must complete these fields for all rate/rule filings. Complete the Rate Data fields by submitting a post submission update.  For rule only filings, please enter 0 on all fields. SERFF Tracking #: SFMA-134410218 State Tracking #: S727777 Company Tracking #: HO-48033 State: Texas Filing Company: State Farm Lloyds TOI/Sub-TOI: 04.0 Homeowners/04.0000 Homeowners Sub-TOI Combinations Product Name: HO-48033 Project Name/Number: HO-48033/HO-48033 PDF Pipeline for SERFF Tracking Number SFMA-134410218 Generated 03/05/2025 02:42 AM  For questions, contact the Property and Casualty Actuarial Office at PCActuarial@tdi.texas.gov.",2025-03-10
TX_SFMA-134447409,TX,Underwriting Guidelines,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,176,43419,[43419],No objections,No objections,No objections,No objections,2025-03-10
TX_USAA-134443395,TX,Rate/Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,200,25941,"[25941, 25968, 18600, 21253]",No objections,No objections,No objections,No objections,2025-03-10
TX_USAA-134443396,TX,Endorsement (Amendments),04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,200,21253,"[21253, 25941, 25968, 18600]",No objections,No objections,No objections,No objections,2025-03-10
VA_AMSI-134375543,VA,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,155,10872,[10872],02/11/2025,Objection_letter1,objection1,"Thank you for your time and objection response. However, the following issue will require your attention.      Objection 1           Comments: As requested in the first objection, please clarify on what date these forms stopped being written or renewed (produced) for insureds.",2025-03-10
VA_AMSI-134375543,VA,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,155,10872,[10872],01/24/2025,Objection_letter2,objection1,"Thank you for your submission. The following issues will require your attention.      Objection 1           Comments: In AMSI-134111672 and AMSI-133577868 the company was asked to withdraw these forms before 9/1/24, and to clarify if any insureds were still using these forms. Please clarify when these forms stopped being produced and how many insureds were using the forms at that point.",2025-03-10
VA_LEMO-134441439,VA,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,5032,16023,[16023],No objections,No objections,No objections,No objections,2025-03-10
WA_LBPM-134447017,WA,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,19690,[19690],No objections,No objections,No objections,No objections,2025-03-10
WI_AMSI-133860671,WI,Rate/Rule,04.0 Homeowners,04.0003 Owner Occupied Homeowners,155,10872,[10872],No objections,No objections,No objections,No objections,2025-03-10
WI_LBPM-134430805,WI,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,42404,"[42404, 23035, 23043, 33600, 33588, 18333, 26425]",No objections,No objections,No objections,No objections,2025-03-10
WI_LEMO-134385206,WI,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,5032,16023,[16023],03/04/2025,Objection_letter1,objection1,Scan the completed certificate and attach it as a PDF.,2025-03-10
WI_LEMO-134385206,WI,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,5032,16023,[16023],03/04/2025,Objection_letter1,objection2,"Print the completed certificate as a PDF, save, and attach the saved document.",2025-03-10
WI_LEMO-134385206,WI,Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,5032,16023,[16023],03/04/2025,Objection_letter1,objection3,"Under tools, select Sign & Certify, click Sign the Document, and check the ""certify form"" checkbox that appears.",2025-03-10
WI_SFMA-134421547,WI,Rate/Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,176,25143,[25143],No objections,No objections,No objections,No objections,2025-03-10
WV_AMSI-134244221,WV,Rate/Rule,04.0 Homeowners,04.0003 Owner Occupied Homeowners,155,10872,[10872],02/21/2025,Objection_letter1,objection1,"Good morning, For this rule:  Rule Number: R303 Page Number: R303-1 Rule Section: ADDITIONAL FEES & CALCULATIONS Rule Name: MINIMUM EARNED PREMIUM Revised: 2025-08 MINIMUM EARNED PREMIUM A minimum premium of $50 is earned on each policy regardless of how long the policy is in force. If it is a new business policy and the company cancels it flat in the first 30 days due to underwriting, will you give a full refund?",2025-03-10
