SERFF Tr Num,Filing Type,Date Submitted,Effective Date Requested (New),Effective Date Requested (Renewal),SERFF Status,Filing Description,Filing Method,TOI,Sub-TOI,State,Group_Code,Company_Codes,week_date,gpt_3_5_summary,o1_mini_summary,xai_summary,claude_3_haiku_summary,claude_3_5_sonnet_summary,MyNotes
USAA-134443395,Rate/Rule,3/6/2025,8/14/2025,8/14/2025,Submitted to State,"Based on a review of the latest Homeowner, United Services Automobile Association (USAA), USAA-Casualty Insurance
Company (USAA-CIC), USAA-General Indemnity Company (USAA-GIC), and Garrison Property and Casualty Insurance
Company (Garrison) propose revision to Homeowner premium rates with an overall effect of 3.1% to be effective 08/14/2025
for both new business and renewal business.
The proposed changes include base rate revisions for both Owners and Unit-Owners, revising FAIR Plan Assessment
surcharge for both Owners and Unit-Owners, and introducing Special Roof Coverage for Owners only.
Descriptions for all rate indication support are provided in the attached exhibits.
The FAIR Plan Assessment surcharge will apply to all companies, and the factor is 0.0004 applied to total policy premium
excluding earthquake.
In accordance with the TDI Commissioner’s Bulletin #B-0002-18, this factor is calculated as follows.
•USAA Group FAIR Plan Assessment amount: $1,781,249
•USAA Group 2017 Earned Premium for Homeowners, Renters, and Fire policies: $1,570,579,752
•Policy Premium Surcharge for Recoupment = $1,781,249 / $1,570,579,752 / 3 = 0.0004
Please refer to the Explanatory Memorandum for additional details.",,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,TX,200,"[25941, 25968, 18600, 21253]",3/10/2025,"Based on the rate filing by United Services Automobile Association (USAA) and its affiliated companies (USAA Casualty Insurance Company, USAA General Indemnity Company, and Garrison Property and Casualty Insurance Company) for homeowners insurance in Texas, here is a summary of the key information:

1. **Product Details**:
   - **Product Name**: Homeowners
   - **Filing Type**: Rate/Rule
   - **Date Submitted**: 03/06/2025
   - **Effective Date Requested**: 08/14/2025 (New and Renewal Business)
   - **TOI/Sub-TOI**: 04.0 Homeowners/04.0000 Homeowners Sub-TOI Combinations
   - **SERFF Tracking #:** USAA-134443395
   - **Company Tracking #:** TX2500099
   - **Companies Involved**: United Services Automobile Association, USAA Casualty Insurance Company, USAA General Indemnity Company, Garrison Property and Casualty Insurance Company

2. **Rate Change**:
   - **Overall Percentage Change**: Increase of 6.800%
   - **Effective Date of Last Rate Revision**: 03/10/2025
   - **Rate Impact**:
     - United Services Automobile Association: 3.3%
     - USAA Casualty Insurance Company: 3.4%
     - USAA General Indemnity Company: 3",,,"Based on the information provided, this is a rate filing by United Services Automobile Association (USAA), USAA Casualty Insurance Company (USAA-CIC), USAA General Indemnity Company (USAA-GIC), and Garrison Property and Casualty Insurance Company (Garrison) for their Homeowners insurance products in Texas. The key elements of the filing include:

1. Proposed overall rate increase of 3.1% for new and renewal business, effective August 14, 2025.

2. Base rate revisions for both Owners and Unit-Owners forms. 

3. Revisions to the FAIR Plan Assessment surcharge, which will be a factor of 0.0004 applied to the total policy premium excluding earthquake.

4. Introduction of a new Special Roof Coverage endorsement for Owners forms only.

The filing includes detailed actuarial support and exhibits for the proposed rate changes, including indications by peril, territory relativities, and impact analyses. The companies are providing marked copies of the rate and rule manual pages that would be impacted by the proposed changes.

Overall, this appears to be a comprehensive rate filing by the USAA group of companies to adjust their Homeowners rates and rating factors in Texas, primarily driven by changes in loss experience and the FAIR Plan Assessment.",,
USAA-134443396,Endorsement (Amendments),3/6/2025,8/14/2025,8/14/2025,Submitted to State,"USAA is introducing the Insurance Institute for Business & Home Safety (IBHS) Special Roof Endorsement, form number HO-
IBHSTX. This endorsement provides up to $20,000 for policyholders to replace their roofs with an IBHS Fortified Roof in case
of a roof replacement event.",,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,TX,200,"[21253, 25941, 25968, 18600]",3/10/2025,"The rate filing in this document pertains to an endorsement introduced by USAA for homeowners insurance in Texas. The endorsement, named ""SPECIAL ROOF COVERAGE - TEXAS,"" provides coverage up to $20,000 for policyholders to replace their roofs with an IBHS Fortified Roof in case of a roof replacement event. The endorsement includes additional coverage for initial inspection and certification of the roof along with specific definitions and conditions related to coverage. The filing specifies that the endorsement is optional for policyholders. Additionally, the filing includes various forms and supporting documents related to the endorsement.",,,"Based on the information provided, this is a filing by USAA group companies (Garrison Property and Casualty Insurance Company, United Services Automobile Association, USAA Casualty Insurance Company, and USAA General Indemnity Company) to introduce a new homeowners endorsement in Texas called the ""SPECIAL ROOF COVERAGE - TEXAS"" (form HO-IBHSTX).

The key points about this endorsement are:

1. It provides up to $20,000 for policyholders to upgrade their roof to an IBHS ""FORTIFIED Roof - With Hail Supplement"" in the event of a roof replacement due to a covered loss under the policy's Dwelling Protection coverage.

2. The endorsement covers the cost of the initial inspection and certification of the ""FORTIFIED Roof"" by the Insurance Institute for Business & Home Safety (IBHS).

3. It does not cover partial roof replacements or any additional costs above the ""FORTIFIED Roof"" upgrade, nor does it cover subsequent IBHS inspections and certifications after the initial one.

4. This endorsement coverage is in addition to the Dwelling Protection coverage and does not reduce the Dwelling Protection limit.

The filing includes the endorsement form, an explanatory memorandum, a form usage table, and other required state filing documents. This appears to be a new optional endorsement being introduced by the USAA group for their Texas homeowners policies.",,
AMSI-134435230,Form,3/5/2025,5/7/2025,7/7/2025,Submitted to State,"We respectfully submit updates to our notices, which are to be used with our Homeowners Protection Policy, Homeowners
Protection Policy – Special, Condo Protection Policy, Renters Protection Policy, and Progressive Renters Protection Policy for
your approval. Please do not hesitate to reach out to us should you have any questions or concerns.",,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,OR,155,"[10872, 42994]",3/10/2025,"Based on the filing information provided, it appears that American Strategic Insurance Corp. and Progressive Classic Insurance Company submitted updates to their notices related to homeowners insurance policies in Oregon. The updates are intended for approval in relation to the Homeowners Protection Policy, Homeowners Protection Policy – Special, Condo Protection Policy, Renters Protection Policy, and Progressive Renters Protection Policy.

Key details from the filing include:

- **Product Name:** ASI & PGR HOR NOTICES UPDATE - 02.2025
- **Date Submitted:** 03/05/2025
- **State:** Oregon
- **Product Type:** Homeowners
- **TOI/Sub-TOI:** 04.0 Homeowners/04.0000 Homeowners Sub-TOI Combinations
- **Filing Type:** Form
- **Effective Dates:** 05/07/2025 (New) and 07/07/2025 (Renewal)
- **Authors:** Michelle Quibang
- **Companies:** American Strategic Insurance Corp. and Progressive Classic Insurance Company

The filing documents mentioned are related to notices of cancellation, non-renewal, and supporting documents for homeowners and renters insurance policies. The updates include information on underwriting reasons, wildfire risk assessment, and criteria for non-renewal.

Further details provided in the filings cover varied aspects such as score thresholds, impact variables, property characteristics, eligibility assessments, and contact information for policyholders and agents.

Overall, the filing signifies",,,"Based on the filing, the key points are:

1. American Strategic Insurance Corp. and Progressive Classic Insurance Company are submitting updates to their homeowners and renters notices for use with their various homeowners and renters policies in Oregon.

2. The updated notices include:
   - Notice of Cancellation - Underwriting Reasons (ASI OR UCXL 08 21)
   - Notice of Non-renewal (ASI OR NRW 08 21) 
   - Cancellation Notice (PGR OR UCXL 08 21)
   - Nonrenewal Notice (PGR OR NRW 08 21)

3. The key reasons for cancellation or non-renewal are increased wildfire risk, as determined by the companies' Wildfire Underwriting Model that scores properties from 1-50, with lower scores indicating lower risk. Properties with scores exceeding the companies' acceptability thresholds are being cancelled or non-renewed.

4. The notices provide details on the specific property characteristics (e.g. topography, structure density, burn probability) that are driving the high wildfire risk scores and resulting in the cancellation or non-renewal decisions.

5. The companies are seeking approval of these updated notices to use with their Oregon homeowners and renters policies.

In summary, this is a filing for updated cancellation and non-renewal notices related to the companies' assessment of wildfire risk for properties in Oregon, using a proprietary underwriting model.",,
AMSI-134435390,Form,3/5/2025,5/7/2025,7/7/2025,Submitted to State,"We respectfully submit updates to our notices, which will be used with our Manufactured Home product for your approval.
Please do not hesitate to reach out to us should you have any questions or concerns.",,04.0 Homeowners,04.0002 Mobile Homeowners,OR,155,[10194],3/10/2025,"From the filing information provided, it appears that the insurance company Artisan and Truckers Casualty Company has submitted updates to their notices related to their Manufactured Home Protection Policy in Oregon. The filing includes updates to two forms: a Nonrenewal Notice (PGR OR NRW) and a Cancellation Notice (PGR OR UCXL). These updates are part of the OR MFH NOTICES UPDATE 02.2025 project, with an effective date requested for the new policy as 05/07/2025 and for the renewal as 07/07/2025.

The company's Wildfire Underwriting Model is a significant factor in determining risk acceptability, scoring properties based on various criteria related to wildfire risk. The filings provide information on the impact variables considered in assessing properties' wildfire risk scores, such as topography, structure density, burn probability, fire severity, and other environmental factors.

The certification of compliance confirms that the filing complies with applicable state and federal regulations and product standards. The company's contact for the filing is Michelle Quibang, an authorized Forms Specialist. Additionally, the filing materials included supporting documents like explanatory memorandums, certifications of compliance, and highlighted/redline versions of the updated forms.",,,"Based on the filing, Artisan and Truckers Casualty Company is submitting updates to two notices to be used with their Manufactured Home product in Oregon:

1. Nonrenewal Notice (PGR OR NRW 08 21)
- This notice indicates that the policy will not be renewed at expiration due to the property's high wildfire risk score exceeding the company's acceptability threshold. 
- The notice outlines the key property characteristics that contributed to the high wildfire risk score, including topography, structure density, and burn probability.
- The company states that any mitigation actions taken by the policyholder are unlikely to change the risk score.

2. Cancellation Notice (PGR OR UCXL 08 21) 
- This notice indicates that the policy will be cancelled prior to the expiration date due to the property's high wildfire risk score exceeding the company's acceptability threshold.
- The notice outlines the key property characteristics that contributed to the high wildfire risk score, similar to the nonrenewal notice.
- The company states that any mitigation actions taken by the policyholder are unlikely to change the risk score.

The filing also includes supporting documentation such as an explanatory memorandum, a certification of compliance, and redlined versions of the updated notices.",,
LEMO-134441439,Form,3/5/2025,7/1/2025,7/1/2025,Assigned,"A  form revision to Lemonade’s homeowners insurance program is hereby submitted for the State’s review. Please refer to the
Explanatory Memorandum for further details.
We thank you for your consideration.",,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,VA,5032,[16023],3/10/2025,"Summary of the Rate Filing:

- **Company Details:** Lemonade Insurance Company submitted a form revision for their homeowners insurance program in Virginia.
- **Project:** The project name and number is VA Scheduled Personal Property / LIC-HO-VA-2503F.
- **Product Name:** Homeowners insurance.
- **Filing Type:** Form filing.
- **Effective Date:** Requested effective date for both new and renewal policies is 07/01/2025.
- **Form Schedule:** The form revised is the Scheduled Personal Property Endorsement for Virginia (LEM-2028-VA). It covers various classes of personal property with specific amounts of insurance.
- **Revisions:** The endorsement has been updated to include diminution in value for repaired property as a loss settlement method, as required by VA statute 38.2-2120.
- **Certification:** The insurer has certified compliance with Chapter 342 of Title 14 of the Virginia Administrative Code related to homeowners insurance policies.
- **Inclusions:** The filing includes the revised form, a redlined version, and a certification of compliance document.
- **Supporting Documents:** Various supporting documents were either bypassed or satisfied, including certification of compliance and the VA Filing Memorandum.
- **Digital Signatures:** The filing includes digital signatures from Jodi Bansfield, authorizing the submission.

Overall, Lemonade Insurance Company has submitted a comprehensive rate filing for revisions to their homeowners insurance program in Virginia, addressing specific requirements",,,"This filing does not involve a rate change. It is a form filing to revise the Lemonade Insurance Company's LEM-2028-VA Scheduled Personal Property endorsement for their homeowners insurance program in Virginia.

The key changes are:

1. Updating the loss settlement provision to include diminution in value for repaired property, as required by Virginia statute 38.2-2120. 

2. Making other minor revisions and updates to the endorsement form.

The filing includes the following documents:

- The revised LEM-2028-VA Scheduled Personal Property endorsement form (final version)
- A redlined version showing the changes made to the previous form
- A Certification of Compliance with the Virginia requirements for homeowners insurance policy forms

This appears to be a procedural filing to update the policy form language, rather than a rate or rule change filing.",,
LBPM-134447017,Form,3/5/2025,6/23/2025,,Assigned,"In accordance with Washington filing provisions, we respectfully submit the following new Homeowners program.
We are excited to introduce a new Homeowners program, available to the insuring public of Washington State.  Our new
program will be available for new business effective the above captioned date.  As an introductory program, there is no in force
impact or policyholder base.
Exhibit I provides a complete list of forms submitted with this filing. In addition, a final copy of each form is provided for review.
The applicable rates and rules for this new policy are filed under separate cover: LBPM-134306984.
We look forward to your approval of our filing.  Should you have any questions or concerns, please feel free to contact us.
Thank you in advance for your consideration.",,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,WA,111,[19690],3/10/2025,The,,,"Based on the filing, this appears to be a new homeowners insurance program being introduced by American Economy Insurance Company in Washington state. The key points are:

- This is a new Homeowners program that will be available for new business effective June 23, 2025. There is no in-force impact or existing policyholder base.

- The filing includes a full set of policy forms, including the Homeowners Declarations, policy contract (HOM-7030 and HOM-7050), endorsements, and supporting documents. 

- The policy forms provide standard homeowners coverage for the dwelling, other structures, personal property, additional living expenses, and liability. Coverage includes perils like fire, windstorm, explosion, theft, etc. with standard exclusions.

- The filing also includes endorsements providing optional coverages like Valuable Articles, Earthquake, Water Escape, Theft of Building Materials, and others.

- This appears to be a comprehensive new homeowners insurance product that American Economy Insurance Company is seeking to introduce in the Washington market. The filing provides the full set of forms and policy contract details for regulatory review and approval.

In summary, this is a new homeowners insurance program filing by American Economy Insurance Company for the state of Washington, including the policy forms, endorsements, and supporting documents.",,
TRVD-G134444542,Rule,3/4/2025,,6/2/2025,Closed-Acknowledged,With this filing we are amending our Legacy Home product as detailed in the attached explanatory memorandum.,,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,AZ,3548,"[19062, 19070, 25666]",3/10/2025,"The rate filing submitted by The Automobile Insurance Company of Hartford, Connecticut, The Standard Fire Insurance Company, and The Travelers Indemnity Company of America pertains to the Legacy Homeowners product in the state of Arizona. The filing date was 03/04/2025 with a disposition date of 03/06/2025. The filing type was a Rule amendment specifically focusing on the Loss Assessment Coverage under Rule 511.

The changes in the filing were detailed in an Explanatory Memorandum and included revisions to the eligibility requirements for Loss Assessment Coverage. The revision applies to renewal business issued on or after 4/13/2025, with an effective date of 6/2/2025. The amendment was made by The Automobile Insurance Company of Hartford, Connecticut, The Standard Fire Insurance Company, and The Travelers Indemnity Company of America, impacting their Arizona Homeowners product.

The filing did not have any overall rate impact, as confirmed in the filing documentation. The justification for the rate changes, along with compliance with Arizona laws and requirements, was outlined to demonstrate that the rates are not excessive, inadequate, or unfairly discriminatory. The filing also included necessary supporting documents and disclosures, as per Arizona regulations.

The Amendments will be made to the Rule 511, Loss Assessment Coverage, including changes to the eligibility criteria and coverage descriptions for assessment related to the residence premises, excluding assessments due to earthquakes. The revised policy will now offer options for increased limits with corresponding premiums",,,"Based on the information provided, this is a rate/rule filing for the Travelers Insurance group's homeowners program in Arizona. The key points are:

1. The filing is revising Rule 511: Loss Assessment Coverage. 

2. The changes are to the eligibility requirements for the Loss Assessment Coverage limit. Specifically, the changes state that after new business issuance, the Loss Assessment limit may only be increased effective upon renewal.

3. There is no rate impact associated with this change. 

4. The changes apply to renewal business issued on or after 4/13/2025 and effective on or after 6/2/2025.

In summary, this is a rule filing to revise the eligibility requirements for the Loss Assessment Coverage limit, with no rate impact. The changes are being made to the Travelers Insurance group's homeowners program in Arizona.",,
TRVD-G134444680,Rule,3/4/2025,,,Closed-Acknowledged,"With this filing, we are amending our Quantum Homeowners Product as described in the accompanying Explanatory
Memorandum.",,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,AZ,3548,"[27998, 36137]",3/10/2025,The rate filing submitted by The Travelers Home and Marine Insurance Company and Travelers Commercial Insurance Company for their Quantum Homeowners product in Arizona includes revisions to two key rules: Rule 511 for Loss Assessment Coverage and Rule 535 for Enhanced Home Package. The revisions focus on eligibility requirements for both coverages with no associated rate impact. The changes are applicable to renewal business issued on or after 4/13/2025 and effective beginning 6/2/2025. The purpose of the filing is to update and enhance the coverage offerings for Quantum Homeowners policies in compliance with Arizona insurance laws and regulations.,,,"Based on the information provided, this appears to be a rate/rule filing by The Travelers Home and Marine Insurance Company and Travelers Commercial Insurance Company for their Quantum Homeowners product in Arizona. The key points are:

1. The filing is revising two rules:

- Rule 511 - Loss Assessment Coverage
- Rule 535 - Enhanced Home Package

2. The revisions pertain to the eligibility requirements for these coverages/endorsements. There is no rate impact associated with these changes.

3. The changes apply to renewal business issued on or after 4/13/2025 and effective on or after 6/2/2025.

4. The filing does not include any rate changes, only revisions to the rules governing the Loss Assessment Coverage and Enhanced Home Package endorsements. 

5. The purpose of the filing appears to be updating the eligibility requirements for these optional coverages, without changing the underlying rates.

In summary, this is a rule filing to modify the underwriting eligibility for two optional homeowners endorsements, with no rate impact. The changes will apply to renewal business going forward.",,
ALSE-134445641,Rule,3/4/2025,7/1/2025,,Submitted to State,"This filing details the introduction of the Allstate North American Insurance Company (ANAIC) Homeowners program in the
state of Michigan.
Further information can be found in the enclosed attachments.",,04.0 Homeowners,04.0003 Owner Occupied Homeowners,MI,8,[11110],3/10/2025,"Based on the information provided in the filing, the rate data does not apply to the Allstate North American Insurance Company's introduction of the ANAIC Homeowners program in the state of Michigan. The filing primarily focuses on the introduction of the program and underwriting guidelines, with no specific rate information included in this particular filing. The main purpose of the filing is to introduce the new homeowners program in Michigan and provide underwriting guidelines related to the program.",,,"Based on the information provided in the filing, this appears to be a filing by Allstate North American Insurance Company (ANAIC) to introduce their new ANAIC Homeowners (ANAIC HO) product in the state of Michigan.

The key points from the filing summary are:

1. This is a rule filing to introduce the new ANAIC HO product in Michigan.

2. The filing includes the Underwriting Guidelines for the new ANAIC HO product.

3. The filing does not include any rate or rule changes, so there is no rate information provided.

4. This appears to be the initial introduction of the ANAIC HO product in Michigan, with a requested effective date of July 1, 2025.

5. The filing was submitted by Lizett Mendez, a State Filings Analyst at Allstate.

In summary, this is a filing to introduce a new homeowners insurance product, ANAIC HO, by Allstate North American Insurance Company in the state of Michigan, without any rate changes included in the filing.",,
AMSI-134443262,Rule,3/4/2025,,,Assigned,"American Strategic Insurance Corp. (ASIC) respectfully submits for your review a rules only filing for our HOU program. Please
see our Explanatory Memorandum for additional detail.
Thank You,
Brian Dedrick
Product Manager",,04.0 Homeowners,04.0001 Condominium Homeowners,NJ,155,[10872],3/10/2025,"Based on the information provided in the filing, American Strategic Insurance Corp. has submitted a rules-only filing for their New Jersey Condominium Homeowners Program. The filing includes updates to underwriting guidelines and various policy forms, endorsements, coverages, and limits.

Key aspects of the filing include: 

1. Underwriting Eligibility: Specific requirements concerning occupancy, property conditions, insurance to value, loss history, and cancellations/non-renewals are outlined for eligibility.

2. Construction Definitions: Details about different types of construction materials for homes.

3. Protection Class: Classification based on proximity to fire station and hydrant for insurance rating.

4. Coverage Overview: Coverage limits for dwelling, contents, loss of use, personal liability, and medical payments, along with covered perils and deductible information.

5. Policy Forms and Endorsements: Mention of proprietary policy forms, mandatory endorsements like Lead Liability Exclusion and Water Backup coverage, and optional coverages like Personal Property Replacement Cost and Ordinance or Law coverage.

6. Discounts & Surcharges: Details on discounts for package policies, new purchases, Senior Discount, Protective Device Discount, and more.

7. Additional Fees & Calculations: Information on fee waivers, premium rounding, fixed base premium, minimum premium, rate capping, and New Jersey Property-Liability Insurance Guaranty Association fee.

8. Payment Plans: Options for semi-annual and quarterly payments with installment fees and NSF check charges.

9. Binder Guidelines: Instructions on binding",,,"Based on the filing, here is a summary of the key points:

1. Rules Filing: This is a rules-only filing by American Strategic Insurance Corp. (ASIC) for its New Jersey Condominium (HOU) Homeowners program. The company is removing the underwriting eligibility guidelines from the previously filed and approved manual.

2. No Material Impact: The removal of the underwriting eligibility guidelines will not have a material impact on how ASIC underwrites its business. The underwriting eligibility guidelines will still be available to agents via the Agent Manual.

3. Alignment with HO3 (HOH) Program: These changes will align the HOU program with ASIC's HO3 (HOH) program, where the underwriting eligibility guidelines were previously removed.

4. No Changes to Underwriting/Business Practices: ASIC is not making any changes to its underwriting/business practices or material rule revisions with this filing.

In summary, this is a rules-only filing by ASIC to remove the underwriting eligibility guidelines from the HOU program manual, aligning it with the company's HO3 (HOH) program. The changes will not have a material impact on ASIC's underwriting or business practices.",,
AMSI-133860671,Rate/Rule,3/4/2025,3/26/2025,5/26/2025,Closed-Filed,"American Strategic Insurance Corp.  (ASIC) submits for your review, a revision to our Homeowners HOH program.",,04.0 Homeowners,04.0003 Owner Occupied Homeowners,WI,155,[10872],3/10/2025,"The rate filing submitted by American Strategic Insurance Corp. for its Wisconsin Homeowners Program includes revisions to the Homeowners HOH program for owner-occupied homeowners. The filing includes rate changes, rule manual updates, and rate pages for various aspects such as policy term, renewal process, cancellation policy, multiple locations coverage, construction definitions, coverage limits, loss settlement, coverage options, policy forms, additional endorsements, and various discounts and surcharges.

The filing involves company contact information, author and reviewer details, disposition status, effective dates, filing type (Rate/Rule), and details of the products, TOIs, and sub-TOIs affected. The effective date requested for the new rates is 03/26/2025, while for renewal rates, it is 05/26/2025. The filing includes information on premium changes, written premium, the number of policyholders affected, and other financial impacts.

The document provides a comprehensive overview of the rate changes, rule updates, supporting documents, filing fees, dispositions, and various rate and rule schedule items related to the American Strategic Insurance Corp.'s Homeowners Program in Wisconsin. The filing details key aspects of the underwriting and rating process, including discounts, surcharges, premium calculations, payment plans, and fee structures.",,,"Based on the filing, the key points are:

1. American Strategic Insurance Corp. is filing a revision to its Homeowners HOH program in Wisconsin. 

2. The overall indicated change is 23.9% and the overall rate impact is 23.4%. This will result in a $10,809,241 written premium change, affecting 36,212 policyholders.

3. The filing includes revisions to the rate manual, rules, and rate pages.

4. Key rating factors include insurance score, prior claims, prior liability limit, household characteristics, dog ownership, occupancy, dwelling characteristics (age, construction, roof, etc.), and various discounts/surcharges. 

5. The filing includes various optional endorsements that provide additional coverages and limits.

6. The filing was filed using the Use & File method and the effective dates are March 26, 2025 for new business and May 26, 2025 for renewals.

7. The filing was reviewed and filed by the Wisconsin Department of Insurance on March 10, 2025.

In summary, this is a comprehensive rate revision filing by American Strategic Insurance Corp. for its Wisconsin Homeowners program, incorporating updates to rates, rules, and endorsements.",,
ALSE-134443416,Rate/Rule,3/3/2025,7/1/2025,,Assigned,"This filing details the introduction of the Allstate North American Insurance Company (ANAIC) Homeowners program in the
state of Michigan.
Further information can be found in the enclosed attachments.",,04.0 Homeowners,04.0003 Owner Occupied Homeowners,MI,8,[11110],3/10/2025,"Based on the information provided in the filing with the DOI from Allstate North American Insurance Company for the introduction of the ANAIC HO (Homeowners) program in Michigan, here is a summary of the key points:

1. **Company Information**: 
   - **Company Name**: Allstate North American Insurance Company
   - **Location**: Northbrook, IL
   - **Type of Insurance**: Property & Casualty
   - **Product Name**: ANAIC HO
   - **State**: Michigan
   - **Type of Insurance**: Homeowners - Owner Occupied

2. **Filing Type**: Rate/Rule
   - **Effective Date Requested**: New - 07/01/2025

3. **Project Details**:
   - Introduction of the ANAIC Homeowners program under Project Name/Number: RITM06473713

4. **Rate Information**:
   - **Rate Change Type**: Percentage
   - **Overall Percentage of Last Rate Revision**: Not provided
   - **Written Premium Change**: Not provided
   - **Number of Policyholders Affected**: Not provided

5. **Rule Manuals**:
   - The filing includes detailed rule manuals covering various aspects such as Definitions, Type of Policy, Eligibility, Policy Period, Endorsements, Cancellations, Premium Determination, Mandatory Coverages, Additional Coverages, and Assignment of Rating Zones, among others.

6. **Rate Mitigation Factor**:
",,,"Here is a summary of the key points from the rate filing:

1. This filing introduces the Allstate North American Insurance Company (ANAIC) Homeowners program in the state of Michigan. It includes new rules, rating factors, and rate pages.

2. The policy may be written to insure owners of one-family dwellings used exclusively for residential purposes, as well as two- to four-family dwellings occupied by co-owners. Policies cannot be written on farm property.

3. The policy has mandatory coverages under Section I (dwelling, other structures, personal property, additional living expense) and Section II (liability and guest medical). Optional coverages and endorsements are also available.

4. Rating factors include location zone, amount of insurance, deductible, age of home, construction type, roof characteristics, parcel characteristics, auto accident history, policy group based on insurance score, claim history, payment type, and various discounts.

5. The filing introduces a Claim Waiver Program that allows eligible rate-affecting claims to be waived and not impact discounts or surcharges. There are two levels of claim forgiveness available.

6. A Rate Mitigation Factor is applied at each renewal to help limit premium increases.

7. The premium for fixed expenses is segmented based on factors like multiple policy discount, payment type, prior auto carrier, and sales channel.

8. Overall, this filing provides a comprehensive set of rules, rating factors, and rates for the new ANAIC Homeowners product being introduced in Michigan.",,
GMMX-134443628,Rate,3/3/2025,4/14/2025,5/14/2025,Closed-File & Use,"With this filing, Encompass Insurance Company proposes an overall rate change of 0.0% for its Homeowners, Renters, and
Condo lines of business in the state of Nebraska.
This filing proposes revisions to the following:
- Base Premium
- Roof Payment Schedule
- Package Discount
- Welcome Discount
No indication was run for this filing, ‘0’ entered for Overall % Indicated Change.
Please refer to the enclosed filing for more information.",,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,NE,8,[10358],3/10/2025,"Based on the filing from Encompass Insurance Company for the state of Nebraska, the proposed rate revision for Homeowners, Renters, and Condo lines of business is neutral with an overall rate change of 0.0%. The effective date requested for this rate revision is April 14, 2025, for new policies and May 14, 2025, for renewals.

The filing proposes revisions to the Base Premium, Roof Payment Schedule, Package Discount, and Welcome Discount factors. These changes are outlined in the documentation provided, including Component Base Premiums, Roof Payment Schedule Endorsement Factors, Package Discount Factors, and Welcome Discount Factors.

The filing does not indicate any indication results, with '0' entered for Overall % Indicated Change. The company has provided detailed supporting documentation and actuarial memorandums for this rate revision. The filing status is Closed-File & Use, with the effective date for the new rates set for April 14, 2025.",,,"Based on the information provided, this is a rate filing from Encompass Insurance Company for its Homeowners, Renters, and Condo lines of business in Nebraska. The key points are:

1. Encompass is proposing an overall rate change of 0.0% for these lines of business.

2. The filing proposes revisions to the following:
   - Base Premium
   - Roof Payment Schedule
   - Package Discount
   - Welcome Discount

3. No indication was provided, so the overall % indicated change is listed as 0.0%.

4. The filing affects 346 policyholders with a total written premium of $903,312.

5. The maximum rate change allowed is 3.5%, while the minimum is -17.7%.

6. The filing has been approved for a File and Use status, with an effective date of April 14, 2025 for new business and May 14, 2025 for renewals.

In summary, this is a neutral rate filing from Encompass Insurance Company proposing some minor revisions to its rating factors in Nebraska, with no overall change in rates.",,
