SERFF#,State,Group_Code,Company_Code,Company_Code_all,Objection_letter_date,Objectionletter#,Objection#,Objection
IL_HART-134116217,IL,91,38261,[38261],06/28/2024,Objection_letter2,objection2,"Objection 2           - Rule Pages - Revised, TOC-1, TOC-2, TOC-3, TOC-4, 305-400, 514.1, 515.1, 515.2, 805.1, 806.1, 878-899, END ROC -1, END ROC -2, END ROC -3, END ROC -4 (Rate)           Comments: It appears that the marked copy of the rules is missing a page - Endorsement Rate Order of Calculation Personal Injury Coverage Personal Property Replacement Coverage Etc"
IL_HART-134116217,IL,91,38261,[38261],06/28/2024,Objection_letter2,objection3,Objection 3           Comments: What is the indicated rate need based on Hartford Insurance Company of the Southeast data? Thank you.
IN_HART-134085488,IN,91,34690,[34690],No objections,No objections,No objections,No objections
IN_HART-134297756,IN,91,38261,[38261],No objections,No objections,No objections,No objections
KS_HART-134208405,KS,91,27120,"[27120, 29459, 22357, 19682]",09/18/2024,Objection_letter1,objection1,"Objection 1 Response (Supporting Document)           Comments: What is the reasoning for choosing selected rates that vary so greatly from the indication? For both positive and negative changes, would it make more sense to select rates closer to the indication to accurately price rates?"
KS_HART-134208405,KS,91,27120,"[27120, 29459, 22357, 19682]",09/18/2024,Objection_letter1,objection2,Objection 2           -
KS_HART-134208405,KS,91,27120,"[27120, 29459, 22357, 19682]",09/18/2024,Objection_letter1,objection3,"Objection 3           - Talking Points (Supporting Document)           Comments: Please provide talking points that explain the changes made to cause a rate increase. This should include items such as loss experience, reinsurance costs, and other specific reasons for an increase, so that our Consumer Assistance Division can assist with consumer complaints."
KS_HART-134208405,KS,91,27120,"[27120, 29459, 22357, 19682]",08/13/2024,Objection_letter2,objection1,"Objection 1           - Actuarial Justification (Supporting Document)           Comments: On page 18, what is the reason for selecting rates that vary so much from the indicated rates?"
KS_HART-134208405,KS,91,27120,"[27120, 29459, 22357, 19682]",08/13/2024,Objection_letter2,objection2,Objection 2           - Histograms (Supporting Document)           Comments: Please discuss the risk characteristics resulting in the most significant disruption.
KS_HART-134208405,KS,91,27120,"[27120, 29459, 22357, 19682]",08/13/2024,Objection_letter2,objection3,"Objection 3           - Redline Requirement (Supporting Document)           Comments: Discuss the impact of renewal rate capping, book rolls and/or transition factors on proposed rate changes."
KS_HART-134208405,KS,91,27120,"[27120, 29459, 22357, 19682]",08/13/2024,Objection_letter2,objection4,Objection 4           - Talking Points (Supporting Document)           Comments: Please provide our department with a talking points sheet that will assist our consumer assistance division should we receive consumer complaints regarding the rate increase. This submission should provide detailed information that we can share with policyholders that will explain what is causing this rate increase.
KS_HART-134208405,KS,91,27120,"[27120, 29459, 22357, 19682]",08/13/2024,Objection_letter2,objection5,"Objection 5           - Actuarial Justification (Supporting Document)           Comments: Provide detailed description of any changes in actuarial processes, procedures, methods, and assumptions since last filing."
KY_HART-134166688,KY,91,39608,[39608],No objections,No objections,No objections,No objections
MD_HART-134089543,MD,91,29424,"[29424, 27120, 22357, 19682]",08/22/2024,Objection_letter1,objection1,"Please clarify the calculation of the Regional Complement of Credibility of 43.7% and 71.1% in Exhibit 1, line (3) based on the results of Exhibit 7."
MD_HART-134089543,MD,91,29424,"[29424, 27120, 22357, 19682]",08/22/2024,Objection_letter1,objection2,"Provide support for the expenses in Exhibit 1, lines (14) – (17)."
MD_HART-134089543,MD,91,29424,"[29424, 27120, 22357, 19682]",08/22/2024,Objection_letter1,objection3,"Provide support for the Earned Premium at Present Rates in Exhibit 2, column (3)."
MD_HART-134089543,MD,91,29424,"[29424, 27120, 22357, 19682]",08/22/2024,Objection_letter1,objection4,Provide your responses to the PICD actuary’s questions.
MD_HART-134089543,MD,91,29424,"[29424, 27120, 22357, 19682]",08/22/2024,Objection_letter1,objection5,"Provide the most recent ten years (or most recent available) of combined ratio information by year. Thank you, Walter Dabrowski, FCAS, MAAA 410-468-2388"
MD_HART-134090076,MD,91,37478,[37478],08/21/2024,Objection_letter1,objection1,"Please clarify the calculation of the Regional Complement of Credibility of 53.4% and 73.8% in Exhibit 1, line (3) based on the results of Exhibit 7."
MD_HART-134090076,MD,91,37478,[37478],08/21/2024,Objection_letter1,objection2,"Provide support for the expenses in Exhibit 1, lines (14) – (17)."
MD_HART-134090076,MD,91,37478,[37478],08/21/2024,Objection_letter1,objection3,"Provide support for the Earned Premium at Present Rates in Exhibit 2, column (3)."
MD_HART-134090076,MD,91,37478,[37478],08/21/2024,Objection_letter1,objection4,Provide your responses to the PICD actuary’s questions.
MD_HART-134090076,MD,91,37478,[37478],08/21/2024,Objection_letter1,objection5,"Provide the most recent ten years (or most recent available) of combined ratio information by year. Thank you, Walter Dabrowski, FCAS, MAAA 410-468-2388"
MI_HART-134219004,MI,91,38261,[38261],09/27/2024,Objection_letter1,objection1,"The filing has been reviewed and the following objection(s) require response:      Objection 1           - Rule Pages - New, null (Rate)           Comments: STUDENT AWAY FROM HOME- Can you please advise if the carrier will require documentation from the insured showing that they are living away from home? If so, what would this documentation entail."
MO_HART-134141066,MO,91,34690,[34690],06/26/2024,Objection_letter1,objection1,"Thank you for your submission of this filing. Upon review, areas of concern for Missouri insurance regulatory guidelines were found. Please address the following objections and respond by the date above.      Objection 1           Comments: With such a large difference between the Overall Indicated % Change and the Overall % Rate impact, how has it been ensured these rates will not be inadequate?"
MO_HART-134228775,MO,91,37478,"[37478, 27120, 29459, 19682]",09/20/2024,Objection_letter1,objection1,"Objection 1           - Rate Pages - Revised, Rate Pages Revised: Base Rate 1, Base Rate Rent 1- TRUM HFIC TCFIC  (Rate)           Comments: Could you please detail what is Policy Type Cd 2,3,4, etc?"
MO_HART-134228775,MO,91,37478,"[37478, 27120, 29459, 19682]",09/20/2024,Objection_letter1,objection2,"Objection 2           - Rate Pages - Revised, Rate Pages Revised: Base Rate 1, Base Rate Rent 1- TRUM HFIC TCFIC  (Rate)           Comments: Could you please detail what is P01, P02, P03, etc?"
MS_HART-134125129,MS,91,37478,"[37478, 27120]",07/29/2024,Objection_letter1,objection1,"You describe a procedure for developing the complement of credibility in yuor memorandum, but the calcuation in Exhibit 7 is incomplete. Please show a complete derivation, ending in the 29.3% value used in Exhibit 1. Show the adjustment calcuations descrived in the memorandum."
MS_HART-134125129,MS,91,37478,"[37478, 27120]",07/29/2024,Objection_letter1,objection2,Please explain why your business model does not require a commission component in your expense ratios.
MS_HART-134125129,MS,91,37478,"[37478, 27120]",07/29/2024,Objection_letter1,objection3,Please provide a list of what each peril code (P01 through P10) represents.
MS_HART-134137934,MS,91,38261,[38261],07/15/2024,Objection_letter1,objection1,Please provide the actuarial analysis supporting the Trumbull Insurance Company latest indicated rate (effective 9/21/2024) of +13.5%.
NC_HART-134133886,NC,91,30104,[30104],No objections,No objections,No objections,No objections
NC_HART-134138175,NC,91,22357,[22357],06/24/2024,Objection_letter1,objection1,"Your rate deviation filing referenced above is hereby disapproved and cannot be used as filed.  For further consideration of this filing, please provide the additional information requested below:      Objection 1           - Deviation Pages, Exception 1 Age of Dwelling Credit, Exception 2  Account Credit, Exception 8 Insurance Score, Exception 10 Territory Deviation Factor (Rate)           Comments: Exception 2. Account Credit. This heading is misleading as no credit is being applied in either circumstance. Amend or withdraw."
NC_HART-134153272,NC,91,37478,[37478],No objections,No objections,No objections,No objections
NC_HART-134153339,NC,91,29459,[29459],06/24/2024,Objection_letter1,objection1,"Your rate deviation filing referenced above is hereby disapproved and cannot be used as filed.  For further consideration of this filing, please provide the additional information requested below:      Objection 1           - Deviation Pages, Exception 1 Age of Dwelling Credit, Exception 2  Account Credit, Exception 7 Insurance Score, Exception 9 Territory Deviation Factor (Rate)           Comments: Exception 2. Account Credit.  This heading is misleading as no credit is being applied in either circumstance. Amend or withdraw."
ND_HART-134122771,ND,91,29424,"[29424, 27120, 22357, 19682]",No objections,No objections,No objections,No objections
ND_HART-134167664,ND,91,39608,[39608],08/21/2024,Objection_letter1,objection1,"This filing is pending, subject to receipt of the following revisions and/or information:      Objection 1           - Loss History (Supporting Document)           Comments: Please submit summaries of your Countrywide, Regional and Statewide loss experience."
NJ_HART-134101514,NJ,91,39608,[39608],07/01/2024,Objection_letter1,objection1,"Objection 1           Comments: The file, 4. Actuarial Support v2.xlsm in your Companys response dated 06-25-2024, shows the indication as +10.1%.  This does not match the +12.2% indicated rate need in 13. Actuarial Support 202312 V2.xlsx. Please confirm which is the correct value and submit an amended filing.  Please ensure that all exhibits reflect the correct indicated rate need."
NJ_HART-134101514,NJ,91,39608,[39608],07/01/2024,Objection_letter1,objection2,Objection 2           Comments: 13. Actuarial Support 202312 V2.xlsx does not include an indication for HO-4  Tenants.  Please provide an indication to support the proposed +4.1% change for that form.
NJ_HART-134101514,NJ,91,39608,[39608],06/18/2024,Objection_letter2,objection1,"Objection 1           Comments: The indication shows the evaluation date as December, 2022.  Please confirm that this is the correct date."
NJ_HART-134101514,NJ,91,39608,[39608],06/18/2024,Objection_letter2,objection2,"Objection 2           Comments: Please provide a fully supported derivation of the 40,000 earned house years standard used for full credibility."
NJ_HART-134101514,NJ,91,39608,[39608],06/18/2024,Objection_letter2,objection3,"Objection 3           Comments: For frequency and severity trends, please indicate the source of the industry data."
NJ_HART-134101514,NJ,91,39608,[39608],06/18/2024,Objection_letter2,objection4,Objection 4           Comments: Please provide further rationale and justification for each of the selected historical and projected frequency and severity trend selections. Include a qualitative statement which aligns to the Companys loss experience.
NJ_HART-134101514,NJ,91,39608,[39608],06/18/2024,Objection_letter2,objection5,Objection 5           Comments: Please provide actuarial support and an explanation of the three adjustments made to reduce bias in the complement as described in the Actuarial Memo.
NJ_HART-134101514,NJ,91,39608,[39608],06/18/2024,Objection_letter2,objection6,Objection 6           Comments: How is EPAPR calculated in column 3 of Exhibit 2?
NJ_HART-134101514,NJ,91,39608,[39608],06/18/2024,Objection_letter2,objection7,Objection 7           Comments: This filing (Nutmeg) is for a relatively new product.  The actuarial support is based on an indication for a similar product that is more mature (Trumbull).  Please explain why it is appropriate to assume that the premium trend selection for Trumbull is appropriate for Nutmeg.
NJ_HART-134101514,NJ,91,39608,[39608],06/18/2024,Objection_letter2,objection8,"Objection 8           Comments: The Trumbull indication includes a 4.8% load for reinsurance.  Please confirm that this is appropriate for Nutmeg and if not, please provide the appropriate reinsurance load."
NJ_HART-134101514,NJ,91,39608,[39608],06/18/2024,Objection_letter2,objection9,Objection 9           Comments: Please indicate the excess loss threshold used to calculate the Large Loss Adjustment and explain how it was selected.
NJ_HART-134101514,NJ,91,39608,[39608],06/18/2024,Objection_letter2,objection10,Objection 10           Comments: Please indicate the basis for determining full credibility in the calculation of the Large Loss Adjustment.
NJ_HART-134101514,NJ,91,39608,[39608],06/18/2024,Objection_letter2,objection11,"Objection 11           Comments: Please provide additional detail about the experience data used to calculate the Large Loss Adjustment (New Jersey only, regional, countrywide, etc.)."
NJ_HART-134101514,NJ,91,39608,[39608],06/18/2024,Objection_letter2,objection12,Objection 12 SERFF Tracking #: HART-134101514 State Tracking #: 24-0934 Company Tracking #:  FN.14.799/RWG.2024.01 State: New Jersey Filing Company: Nutmeg Insurance Company TOI/Sub-TOI: 04.0 Homeowners/04.0000 Homeowners Sub-TOI Combinations Product Name: NJ Home Prevail - Nutmeg Project Name/Number: NJ Home Prevail - Nutmeg/ FN.14.799/RWG.2024.01 PDF Pipeline for SERFF Tracking Number HART-134101514 Generated 08/08/2024 05:23 AM            Comments: Please explain the following comment in the Actuarial Memo regarding the large loss calculation: Home Advantage data is supplemented with renewal data for calculating the excess ratio.
NJ_HART-134101514,NJ,91,39608,[39608],06/18/2024,Objection_letter2,objection13,Objection 13           Comments: Please provide actuarial support for the smoothing that is performed to adjust for CAT distortions in the historical loss adjustment expense (LAE) data.
NJ_HART-134101514,NJ,91,39608,[39608],06/18/2024,Objection_letter2,objection14,Objection 14           Comments: Please provide the historical data used to develop the expense selections.
NJ_HART-134101514,NJ,91,39608,[39608],06/18/2024,Objection_letter2,objection15,"Objection 15           Comments: The Trumbull indication uses a 0.0% assumption for commissions.  Please confirm that this is appropriate for Nutmeg and if not, please provide the appropriate commission assumption."
NJ_HART-134101514,NJ,91,39608,[39608],06/18/2024,Objection_letter2,objection16,Objection 16           Comments: Please provide a fully supported derivation of the following assumptions used in the Underwriting Profit Provision: a.Target Rate of Return b.After Tax Investment Yield on Surplus c.Premium to Surplus Ratio
NJ_HART-134101514,NJ,91,39608,[39608],06/18/2024,Objection_letter2,objection17,Objection 17           Comments: Please explain why the Underwriting Profit selection differs from indicated.
NJ_HART-134101514,NJ,91,39608,[39608],06/13/2024,Objection_letter3,objection1,For the review of the referenced filing we will require answers to the following questions/concerns.      Objection 1           Comments: Missing Attachment: Your response that was submitted on 6/11/2024 appears to be missing an attachment. Please resend 4. Actuarial Support v2.
NJ_HART-134101514,NJ,91,39608,[39608],06/04/2024,Objection_letter4,objection1,"Objection 1           Comments: The current and prior (HART-133811708) Nutmeg Insurance Company rate filings are both supported by Trumbull Insurance Company filing HART-133735197.  The rate indication in that filing utilized on loss data for Accident Years ending December 31, 2018 through December 31, 2022, evaluated at December 31, 2022.  Please submit an update to the indication used in HART-133735197 that includes Accident Year 2023 data."
NJ_HART-134101514,NJ,91,39608,[39608],06/04/2024,Objection_letter4,objection2,Objection 2           Comments: Please provide a side-by-side comparison of the proposed base rates for Prevail and the current base rates for Home Advantage.  Explain any differences from the original -1.7% rate differential that was selected at the inception of Prevail.
NJ_HART-134101514,NJ,91,39608,[39608],05/23/2024,Objection_letter5,objection1,"Please explain specifically what is driving the indicated rate need (e.g. type/category of losses, geographic locations, large losses, specific agencies or distribution channels, particular years/periods/events, etc.).  Provide cause of loss distributions or other exhibits demonstrating any changes where appropriate."
NJ_HART-134101514,NJ,91,39608,[39608],05/23/2024,Objection_letter5,objection2,"Please describe the rationale for the proposed rate filing amount as it relates to the indicated need, as well as the strategic objective(s) with the overall filing (the % increase, other revisions, etc.)."
NJ_HART-134101514,NJ,91,39608,[39608],05/23/2024,Objection_letter5,objection3,Please provide a discussion of the general type of risk profiles that will receive the larger and smaller premium changes as a result of this filing focusing particularly on the characteristics that are causing the premium changes.  Please do not provide a description of only the individual policies that will receive the maximum and minimum premium change.  Instead provide a description of the general characteristics of the group of policies that will receive the larger and smaller premium changes as well as the basis for targeting such risk types for the related rate changes.
NJ_HART-134101514,NJ,91,39608,[39608],05/23/2024,Objection_letter5,objection4,"Please summarize other actions being taken by the company, in addition to rate revision filings, to address overall profitability and growth plans, if/as applicable."
NJ_HART-134101514,NJ,91,39608,[39608],05/23/2024,Objection_letter5,objection5,"Please identify and explain any material increase/decrease in the inforce policy count/exposures over the past several years, identifying the underlying reason(s) and if the directional shift (growing, retracting) is in line with the company objectives in the New Jersey market."
NJ_HART-134101514,NJ,91,39608,[39608],05/23/2024,Objection_letter5,objection6,"Please define the overall company strategy with writing business in New Jersey as well as what differentiates your product from other competitors in the marketplace such as niche/specialty markets, geographic focus (urban, coastal, etc.), enhanced coverages, preferred/standard/non-standard-type business, multi-line offerings, etc."
NV_HART-133798836,NV,91,34690,[34690],07/12/2024,Objection_letter1,objection1,"Objection 1           Comments: The company needs to revise the effective date for new and renewal business (i) via a Post-Submission Update to the General Information tab, (ii) via a revision to the effective date identified in NV PC Form 1 - Part 2, (iii) via a revision to the Rating Manual, and (iv) via a revision to the Filing Memorandum. The effective date for renewal business needs to be at least 30 days after a reasonable future date of approval, to enable the company to send at least 30 days' notice of renewal to affected insureds, in compliance with NRS 687B.350."
NV_HART-133798836,NV,91,34690,[34690],07/12/2024,Objection_letter1,objection2,"Objection 2           Comments: (i) In light of the most recent Profitability Report, the Division's position on rate has not changed, and the Division is willing to approve an overall rate impact of up to +3.0% for the Building Forms. This program has performed well with a relatively large book of business by Nevada standards. Losses have been decreasing for this book, and the Division estimates that even if the company has an expense ratio of 29.3% (the maximum calendar-year expense in the profitability report) in the next calendar year, then the company would be able to absorb losses in some excess of the largest loss ratio experienced over the last 5 years and still retain a 5-year profitability meeting or exceeding its profit provision of 11.3%. The Division's position is that a +3.0% rate impact for these lines provides the company enough rate to resume marketing expenditures, and along with the support of the excess profits from this program, the company will be able to absorb a short-term downturn in loss performance. Note that the Division has already agreed in principle to approving the proposed rate impact of +8.9% for the Tenant and Condo Forms. (ii) If the company is agreeable to the proposed impacts, then to effectuate these proposed rate impacts, please submit: (a) A post-submission update of the Rate/Rule Schedule tab; (b) Revised rate pages (clean and redlined) under the Rate/Rule Schedule tab; (c) A revised Filing Memorandum; (d) A revised Rate Disruption exhibit; and (e) A revised Rate Filing Data Summary on exhibits NV PC Form 1  Parts 1 and 2, and NV PC Form 5  Part 2. All of the above elements should reflect the revised rate-impact proposal. (iii) If the company alternatively provides a 5-year profitability report up to accident year end June 30, 2024, then the Division would be willing to reconsider its position."
NV_HART-133798836,NV,91,34690,[34690],06/11/2024,Objection_letter2,objection1,"This filing is disapproved pending resolution of the following objections.      Objection 1           - Profitability Report (home) (Supporting Document)           Comments: Given that it is now June 11, 2024, please provide an updated Profitability Report with data up to at least 3/31/2024, and up to 5/31/2024 if possible, so that the Division can review the most up-to-date loss data. The company may choose to input the data in a separate line to separate 2024 experience from 2023 experience."
NV_HART-133798836,NV,91,34690,[34690],05/22/2024,Objection_letter3,objection1,Objection 1           - Profitability Report (home) (Supporting Document)           -
NV_HART-133798836,NV,91,34690,[34690],05/22/2024,Objection_letter3,objection4,"Objection 4 Response (Supporting Document)           Comments: (i) In its response to the previous Objection #4, the company stated, ""its worth noting that our expense ratio exhibits a variation of up to seven percentage points over the five years of underlying data presented in the profitability report. This was a result of decreased marketing spend as loss costs have increased, which would not have existed in a typical year."" Does the company expect its marketing expenditures to stay at their current level, or to increase toward their previous level? (ii) The company stated in its response to the previous Objection #1, ""As we noticed our loss costs accelerate in late 2022 across all lines of business, we made the decision to stop spending on marketing"". The Division notes that the 2022 loss ratio of 64.6% was much lower than the company's stated permissible loss ratio of 72.7% and was even lower than the loss ratios for 2019 and 2020. So, while the company has stated that increased loss costs were the reason for the decreased marketing expenditures, it appears to the Division that the performance of this book of business does not correlate to the reduced expense load, but rather to the aggregate performance of many lines of business countrywide in the company's extensive portfolio. The Division is willing to consider a higher expense load when determining an appropriate rate; however, the Division is wary of approving a rate increase to account for an expense load that may not materialize, and it seems to the Division that an additional rate increase will not affect the decision to increase marketing expenditures. Please provide additional commentary addressing these concerns. (iii) The company's permissible loss ratio of 72.7% is greater than the loss ratio for each accident year for the Building Forms and the total book of business in the Profitability Report, where the total 5-year loss ratio was at 59.0% for the building forms and 60.6% for the total book of business, indicating that the rate level has been adequate for this book of business for the nearly four years since the last rate increase effective 9/4/2020 for renewal business. (iv) The Division notes that the company's use of the AIR/Verisk Wildfire Model, Touchstone v8, does not comply with the stipulations for use of that model in Nevada. Moreover, the Division will not consider for approval a rate indication which uses the model to generate a CAT Load. (v) Taking into consideration the company's position on its expense load, the Division would be amenable to approving a rate increase for the Building Forms of up to +3.0% to maintain profitability at or above the profit provision. If the company is agreeable to this rate proposal, then to effectuate all proposed rate impacts (including the +8.9% increase in the Tenant and Condo Forms which the Division previously agreed to in objection #3-1(i)), please submit: (a) A Post-Submission Update of the Rate/Rule Schedule tab; (b) Revised rate pages (clean and redlined) under the Rate/Rule Schedule tab; (c) A revised Filing Memorandum; SERFF Tracking #: HART-133798836 State Tracking #: 116080 Company Tracking #: FN.14.799/RWG.2023.02 State: Nevada Filing Company: Property and Casualty Insurance Company of Hartford TOI/Sub-TOI: 04.0 Homeowners/04.0000 Homeowners Sub-TOI Combinations Product Name: NV Home PLIC 2000 - PCIC Project Name/Number: NV Home PLIC 2000 - PCIC/FN.14.799/RWG.2023.02 PDF Pipeline for SERFF Tracking Number HART-133798836 Generated 08/07/2024 12:20 AM  (d) A revised Rate Disruption exhibit; and (e) A revised Rate Filing Data Summary on exhibits NV PC Form 1  Part 1 and 2, and Form 5  Part 2. All of the above elements should reflect the revised rate-impact proposal. (vi) If the company is able to provide 2024 Q1 profitability data as a separate entry in the Profitability Report for each section (Building, Tenant/Condo, and Overall), then the Division would be willing to reconsider its outlook on the rate proposal."
NV_HART-133798836,NV,91,34690,[34690],04/26/2024,Objection_letter4,objection1,"Objection 1           - Rate Pages - Revised, R-1, R-2 (Rate)           - Filing Memorandum (Supporting Document)           - Rate Filing Data Summary (Supporting Document)           - Rate Disruption (Supporting Document)           - Profitability Report (home) (Supporting Document)           - Coverage A (Dwelling) Exhibits (Supporting Document)           -"
NV_HART-133798836,NV,91,34690,[34690],04/26/2024,Objection_letter4,objection2,"Objection 2 Response (Supporting Document)           Comments: An updated Profitability Report up to accident-year-end 12/31/2023 was provided, and the rate-level outlook of the Division has not changed. (i) The Division would be amenable to approving the proposed rates for Tenant & Condo forms. (ii) Due to the consistent double-digit profitability of the Building Forms above the profit provision of 11.3%, the Division considers that any rate increase for this coverage may be excessive. As such, the Division is not willing to approve any rate increase for these forms. Please revert the proposed rate changes for the Building Forms so that there is no change in the base rates. To effectuate this neutralized rate impact, please submit: (a) A Post-Submission Update of the Rate/Rule Schedule tab; (b) Revised rate pages (clean and redlined) under the Rate/Rule Schedule tab; (c) A revised Filing Memorandum; (d) A revised Rate Disruption exhibit; (e) Revised Coverage A exhibits; and (f) A revised Rate Filing Data Summary with revised exhibits NV PC Form 1  Parts 1 and 2, and Form 5  Part 2."
NV_HART-133798836,NV,91,34690,[34690],03/26/2024,Objection_letter5,objection1,"Objection 1           - Rate Pages - Revised, R-1, R-2 (Rate)           - Mark Up Pages (Supporting Document)           Comments: (i) The Division would be amenable to accepting the proposed rates for Tenant & Condo forms. (ii) Due to the consistent double digit profitability of the Building Forms above the profit provision of 11.3% over the last 1-, 3-, and 5- year periods, the Division deems that any rate increase for this coverage may be excessive. As such, the Division is not willing to approve any rate increase for these forms. If a more recent Profitability Report is provided, at least up to 12/31/2023 but preferably up to 2/29/2024, which shows more adverse loss experience, the Division would be willing to reconsider its position. In particular, any data regarding claims from the most recent snow storms would be considered in our review of the rate need. If no additional data is provided, please revert the proposed rate changes for the Building Forms so that there is no change in the base rates. To effectuate this neutralized rate impact, please submit: (i) a post-submission update of the Rate/Rule Schedule tab; (ii) revised rate pages (clean and redlined) under the Rate/Rule Schedule tab; (iii) a revised Filing Memorandum; (iv) a revised Rate Disruption exhibit; (v) a revised Coverage A exhibit; and (vi) a revised Rate Filing Data Summary on exhibits NV PC Form 1  Part 1 and 2, and Form 5  Part 2;"
