SERFF Tr Num,Filing Type,Date Submitted,Effective Date Requested (New),Effective Date Requested (Renewal),SERFF Status,Filing Description,Filing Method,TOI,Group_Code,Company_Codes,week_date,gpt_3_5_summary,o1_mini_summary,xai_summary
LEMO-134207600,Loss Cost,08/19/2024,10/09/2024,12/08/2024,Closed-Filed,"Lemonade respectfully submits this filing for the State's review. The proposed rate level change is 35.0% for HO-3, 1.0% for
HO-4, and 35.0% for HO-6 for an all-forms rate impact of 19.74%. The proposed new and renewal business effective dates are
10/8/24 and 12/7/2024.
Please see the explanatory memorandum for further details.
Thank you for your consideration.
**This filing contains confidential information. Please refer to the Confidentiality Index attached to the Supporting
Documentation tab.",,04.0 Homeowners,5032,[16023],2025-03-03,"- **Company Name:** Lemonade Insurance Company
- **Product Name:** Homeowners
- **State:** Colorado
- **Type of Insurance:** Homeowners
- **Filing Type:** Loss Cost
- **Overall % Indicated Change:** 27.210%
- **Overall % Rate Impact:** 19.740%
- **Written Premium Change for this Program:** $3,287,215
- **Number of Policy Holders Affected for this Program:** 50,821
- **Written Premium for this Program:** $16,652,557
- **Maximum % Change (where required):** 48.530%
- **Minimum % Change (where required):** 0.000%
- **Requested Rate Level Changes:** 35.0% for HO-3, 1.0% for HO-4, and 35.0% for HO-6, resulting in an all-forms rate impact of 19.74%
- **Effective Date Requested (New):** 10/09/2024
- **Effective Date Requested (Renewal):** 12/08/2024

This rate filing includes various supporting documents such as regulatory filings, rate/rule attachments, actuarial supporting exhibits, inquiry responses, and a confidentiality index. Lemonade Insurance Company has proposed a significant rate level change, with specific adjustments for different types of homeowners policies, and has requested specific effective dates for implementing these changes.",,
USAA-134337652,Rate,12/04/2024,01/14/2025,04/01/2025,Closed-Filed,"Based on a review of the latest Homeowners experience, United Services Automobile Association (USAA), USAA-Casualty
Insurance Company (USAA-CIC), USAA-General Indemnity Company (USAA-GIC), and Garrison Property and Casualty
Insurance Company (Garrison) propose revision to Homeowners premium rates with an overall effect of 6.0% to be effective
1/14/2025 for new business and 4/1/2025 for renewal business.
There are no confidential items in this filing.",,04.0 Homeowners,200,"[25941, 25968, 18600, 21253]",2025-03-03,"The rate filing submitted by United Services Automobile Association (USAA), USAA Casualty Insurance Company (USAA-CIC), USAA General Indemnity Company (USAA-GIC), and Garrison Property and Casualty Insurance Company includes the following key details:

1. **Filing Description:** The filing proposes a revision to Homeowners premium rates with an overall effect of 6.0%, to be effective for new business on 1/14/2025 and for renewal business on 4/1/2025.
   
2. **Companies:** United Services Automobile Association, USAA Casualty Insurance Company, USAA General Indemnity Company, and Garrison Property and Casualty Insurance Company are involved in the filing.
   
3. **Rate Changes:** The overall rate impact and changes for the companies vary with USAA at 8.8%, USAA-CIC at 6.3%, USAA-GIC at 2.5%, and Garrison at 1.5%.
   
4. **Exhibits:** The filing includes supporting exhibits such as the Underwriting Profit & Contingency Provision, Investment income table of contents, and more to support the rate changes.

This filing aims to ensure that the rates are adequate and comply with the regulatory standards for Homeowners insurance in the state of Colorado. It also includes detailed explanations of the rate changes, targeting underwriting profits, and contingency provisions for each company within the group. Additionally, the filing mentions the use",,
TRVD-G134412788,Rate/Rule,02/26/2025,05/18/2025,07/24/2025,Submitted to State,"With this filing were are making revisions to our Quantum Homeowners 2.0 Program per the accompanying filing
memorandum.
This change applies to new business issued and effective on or after 05/18/2025, and to renewal business issued on or after
05/18/2025 and effective on or after 07/24/2025.",,04.0 Homeowners,3548,[38130],2025-03-03,"Based on the information provided in the rate filing, here is a summary of the key details:

1. Company: Travelers Personal Insurance Company
2. Product: Quantum Home 2.0
3. State: Connecticut
4. Type of Insurance: Homeowners (TOI: 04.0 Homeowners)
5. Filing Type: Rate/Rule
6. Effective Date Requested: New Business - 05/18/2025, Renewal Business - 07/24/2025
7. Rate Change Type: Increase
8. Overall Percentage of Last Rate Revision: 14.700%
9. Previous Rate Revision Date: 04/26/2024
10. Rate Filing Method: File & Use
11. Number of Policy Holders Affected: 85,504
12. Written Premium Change: $12,634,440
13. Contact Information: Steven Harris, Sr. Regulatory Services Analyst, srharri2@travelers.com, 865-777-6181
14. Territory Factors: Detailed tables for various territories and lines of coverage

The rate filing reflects an increase in rates for the Quantum Home 2.0 homeowners insurance product in Connecticut, with new rates set to take effect on 05/18/2025 for new business and 07/24/2025 for renewal business. The filing includes detailed rate and rule changes, as well as supporting documents such as base rates, territory factors",,
ALSE-134333693,Rate/Rule other than PPA,11/26/2024,03/01/2025,03/01/2025,Closed-Acknowledged,"With this filing, Allstate is introducing Fortified Home Discount to the Allstate Fire and Casualty Insurance Company (AFCIC)
Homeowners – Owner Occupied Homeowners (HO) program in the state of Georgia.
Further information regarding these changes can be found in the enclosed attachments. This change will apply to new
business written on or after 6/16/2025 and for renewals effective on or after 7/31/2025.
This filing company is closed to new business. Allstate has, however, supplied a new business effective date for special
business cases. For example, to accommodate a new business policy in the same company to a policyholder that has been
reinstated, or if a cancel/re-write is necessary.",,04.0 Homeowners,8,[29688],2025-03-03,"Based on the information provided in the filing with the Department of Insurance (DOI), here are key details regarding Allstate Fire and Casualty Insurance Company's revision for AFCIC HO in Georgia:

1. **Project Details:**
   - **Product Name:** AFCIC HO
   - **Project Name/Number:** Fortified Home Discount/RITM06297272
   - **Effective Date Requested:** 03/01/2025

2. **Filing Overview:**
   - **Filing Type:** Rate/Rule other than PPA
   - **Date Submitted:** 11/26/2024
   - **Disposition Status:** Acknowledged
   - **Effective Date:** 03/01/2025
   - **Filing Contact:** Rhonda Amann, State Filings Manager
   - **Company Tracking #:** R57116: FORTIFIED HOME DISCOUNT
   - **SERFF Tracking #:** ALSE-134333693

3. **Changes Introduced:**
   - **Introduction of Fortified Home Discount:** Allstate is introducing a Fortified Home Discount to the AFCIC HO program for owner-occupied homeowners in Georgia.

4. **Correspondence Summary:**
   - Responses and objections handled in a timely manner.
   - Compliance with DOI requirements and regulations.
   - Rate indications and supporting documents submitted as required.

5. **Manual Changes:**
   - Manual sections revised to accommodate the Fortified Home Discount",,
ALSE-134336829,Rate/Rule other than PPA,12/02/2024,03/01/2025,03/01/2025,Closed-Acknowledged,"With this filing, Allstate is introducing Fortified Home Discount to the Allstate Indemnity Company (AI) Homeowners –
Manufactured Home (MFH) program in the state of Georgia.
Further information regarding these changes can be found in the enclosed attachments.
This change will apply to new business written on or after 6/16/2025 and for renewals effective on or after 7/31/2025.",,04.0 Homeowners,8,[19240],2025-03-03,"Based on the information available in the filing, Allstate Indemnity Company is introducing the Fortified Home Discount to its Allstate Indemnity Company Homeowners - Manufactured Home (AI MFH) program in the state of Georgia. This change will apply to new business written on or after 6/16/2025 and for renewals effective on or after 7/31/2025. 

The project name/number for this initiative is Fortified Home Discount/RITM06297678. The filing was submitted on 12/02/2024, with a disposition date of 03/03/2025, and the effective date requested for the new and renewal business is 03/01/2025. The filing was acknowledged and the SERFF status is closed-acknowledged.

The Company Tracking # for this filing is R57109: FORTIFIED HOME DISCOUNT, and the State-specific filing fee amount was $75.00. The filing fee was processed on 12/02/2024 at 01:05 PM under transaction #301807182.

The contact person for this filing is Rhonda Amann, the State Filings Manager, who can be reached at RAMA0@allstate.com or 847-402-3149 (phone). The company's domicile is Illinois, and the company is a Property and Casualty insurer.

The filing includes various attachments such as the Compliance Certification, Explanatory Memorandum",,
ALSE-134336890,Rate/Rule other than PPA,12/02/2024,03/01/2025,03/01/2025,Closed-Acknowledged,"With this filing, Allstate is introducing Fortified Home Discount to the Allstate Insurance Company (AIC) Homeowners –
Mobilehome (MBH) program in the state of Georgia.
Further information regarding these changes can be found in the enclosed attachments.
This change will apply to new business written on or after 6/16/2025 and for renewals effective on or after 7/31/2025.
This filing company is closed to new business. Allstate has, however, supplied a new business effective date for special
business cases. For example, to accommodate a new business policy in the same company to a policyholder that has been
reinstated, or if a cancel/re-write is necessary.",,04.0 Homeowners,8,[19232],2025-03-03,"This rate filing by Allstate Insurance Company introduces the Fortified Home Discount to its Mobile Home program in Georgia. The filing includes changes to the package premium calculation method, introducing new discounts for original owners, retired individuals, and members of approved groups. Additionally, the filing includes provisions for various coverages under Sections I and II, eligibility criteria, discount factors for protective devices, and details on Deductibles and Premium Group Numbers. The filing also outlines procedures for policy endorsements, premium determinations, and discounts for specific demographics such as retirees and Good Hands People. In summary, the rate filing introduces new pricing structures and discounts to enhance the insurance offerings for mobile homeowners in Georgia.",,
ALSE-134337450,Rate/Rule other than PPA,12/02/2024,03/01/2025,03/01/2025,Closed-Acknowledged,"With this filing, Allstate is introducing Fortified Home Discount to the Allstate Vehicle and Casualty Insurance Company
(AVPIC) Homeowners – Owner Occupied Homeowners (HO) program in the state of Georgia.
Further information regarding these changes can be found in the enclosed attachments.
This change will apply to new business written on or after 6/16/2025 and for renewals effective on or after 7/31/2025.",,04.0 Homeowners,8,[37907],2025-03-03,"Based on the filing provided on Allstate Vehicle and Property Insurance Company introducing the Fortified Home Discount for homeowners in Georgia, the company has made several changes and adjustments. Here are the key aspects of the filing worth noting:

1. **Introduction of Fortified Home Discount**: Allstate Vehicle and Property Insurance Company introduced the Fortified Home Discount for the Allstate Vehicle and Casualty Insurance Company Homeowners – Owner Occupied Homeowners program in Georgia.

2. **Effective Date**: The requested effective date for the new business and renewal business affected by the Fortified Home Discount is 03/01/2025. The company has committed to performing an audit of impacted policyholders and processing corrective action refunds.

3. **Filing Adjustments**: A comprehensive explanation and documentation of the Fortified Home Discount factors applied to premium components for Wind, Hail, and Hurricane perils were included, along with the approval of the Actuarial Standards of Practice.

4. **Geographic/Demographic Data Elements**: The filing identified that zip code was the only geographic/demographic variable used to determine territorial relativities, as obtained directly from policyholders.

5. **Credit Scoring Models**: No credit-related variables were updated with this filing. The Credit Scoring Models and Proprietary Information attachment confirmed this aspect.

6. **Manual and Rule Changes**: The filing included updates to the Rates Manual, specifically PCP-1, PCP-2, PCP-3, and RP-13.",,
ALSE-134337637,Rate/Rule other than PPA,12/02/2024,03/01/2025,03/01/2025,Closed-Acknowledged,"With this filing, Allstate is introducing Fortified Home Discount to the Allstate Property and Casualty Insurance Company (APC)
Homeowners – Owner Occupied Homeowners (HO) program in the state of Georgia.
Further information regarding these changes can be found in the enclosed attachments.
This change will apply to new business written on or after 6/16/2025 and for renewals effective on or after 7/31/2025.
This filing company is closed to new business. Allstate has, however, supplied a new business effective date for special
business cases. For example, to accommodate a new business policy in the same company to a policyholder that has been
reinstated, or if a cancel/re-write is necessary.",,04.0 Homeowners,8,[17230],2025-03-03,"The rate filing from Allstate Property and Casualty Insurance Company for their APC HO Product in Georgia introduces the Fortified Home Discount to their Homeowners - Owner Occupied Homeowners program. The filing was submitted on December 2, 2024, with a requested effective date of March 1, 2025, for both new business and renewals. The filing was closed and acknowledged on March 3, 2025.

Key details of the rate filing include:
- Filing Type: Rate/Rule other than PPA
- Company: Allstate Property and Casualty Insurance Company
- Product Name: APC HO
- State: Georgia
- Project Name/Number: Fortified Home Discount/RITM06297486
- Effective Date Requested: 03/01/2025
- Author: Rhonda Amann
- Reviewer: Jarrett Briscoe
- SERFF Status: Closed-Acknowledged
- State Status: Acknowledged
- Disposition Status: Acknowledged
- Disposition Date: 03/03/2025
- Filing Fee: $75.00
- Contact Information: Rhonda Amann, State Filings Manager

The Fortified Home Discount is intended to apply to new business written on or after June 16, 2025, and for renewals effective on or after July 31, 2025. The filing provided detailed changes to the manual, rating factors, and discounts",,
ALSE-134337677,Rate/Rule other than PPA,12/02/2024,03/01/2025,03/01/2025,Closed-Acknowledged,"With this filing, Allstate is introducing Fortified Home Discount to the Allstate Insurance Company (AIC) Homeowners – Owner
Occupied Homeowners (HO) program in the state of Georgia.
Further information regarding these changes can be found in the enclosed attachments.
This change will apply to new business written on or after 6/16/2025 and for renewals effective on or after 7/31/2025.
This filing company is closed to new business. Allstate has, however, supplied a new business effective date for special
business cases. For example, to accommodate a new business policy in the same company to a policyholder that has been
reinstated, or if a cancel/re-write is necessary.",,04.0 Homeowners,8,[19232],2025-03-03,"Based on the information provided in the filing, it seems that Allstate Insurance Company has submitted a rate/rule filing for its AIC HO (Homeowners - Owner Occupied) program in the state of Georgia. The filing introduces the Fortified Home Discount, which will apply to new business written on or after 6/16/2025 and renewals effective on or after 7/31/2025.

Key Details from the Filing:
1. **Company Information:**
   - Company Name: Allstate Insurance Company
   - Domicile: Illinois
   - Company Type: Property and Casualty
   - Contact: Rhonda Amann, State Filings Manager

2. **Filing Details:**
   - Filing Type: Rate/Rule other than PPA
   - Effective Date Requested: 03/01/2025
   - SERFF Tracking Number: ALSE-134337677
   - State Tracking #: Not provided
   - Company Tracking #: R57117: FORTIFIED HOME DISCOUNT

3. **Changes Introduced:**
   - Introduction of Fortified Home Discount to the AIC HO program
   - Specific eligibility criteria for the discount, including IBHS certification for dwellings
   - Discount factors for Gold, Silver, and Roof levels
   - Exclusion of policies with Windstorm and Hail Exclusion endorsement from the discount

4. **Correspondence Summary:**
   - Objection raised",,
ALSE-134337686,Rate/Rule other than PPA,12/02/2024,03/01/2025,03/01/2025,Closed-Acknowledged,"With this filing, Allstate is introducing Fortified Home Discount to the Allstate Indemnity Company (AI) Homeowners – Owner
Occupied Homeowners (HO) program in the state of Georgia.
Further information regarding these changes can be found in the enclosed attachments.
This change will apply to new business written on or after 6/16/2025 and for renewals effective on or after 7/31/2025.
This filing company is closed to new business. Allstate has, however, supplied a new business effective date for special
business cases. For example, to accommodate a new business policy in the same company to a policyholder that has been
reinstated, or if a cancel/re-write is necessary.",,04.0 Homeowners,8,[19240],2025-03-03,"This filing by Allstate Indemnity Company in Georgia introduces the Fortified Home Discount to its Homeowners - Owner Occupied Homeowners (HO) program. The change is applicable to new business written on or after 6/16/2025 and renewals effective on or after 7/31/2025. The effective date requested for both new and renewal business is 03/01/2025.

The filing was submitted on 12/02/2024 and had a disposition date of 03/03/2025, with the status being acknowledged. The SERFF Tracking Number is ALSE-134337686.

The key elements of this filing include:
1. Introduction of Fortified Home Discount.
2. Description of the eligibility criteria for the discount.
3. Summary of manual changes related to the new discount.
4. Premium calculation options for the Homeowners program, including various discounts and factors.
5. Credit Scoring Models and Proprietary Information.

The filing also includes general company and contact information, supporting documentation schedules, and a correspondence summary related to objection and response letters. Additionally, there are details on rate changes and a breakdown of the company's filing fees.",,
